City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Bangalore,Hosur Road,Apartment,22000000.0,Unfurnished,2,2,Connected,0,0,0,0,1345.0,Area,Karnatka
Bangalore,Frazer Town,Apartment,46000000.0,Unfurnished,3,4,Individual,0,0,0,0,3198.0,Area,Karnatka
Bangalore,Sultanpalya,Apartment,9500000.0,Unfurnished,3,3,Connected,0,0,0,0,1420.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,19000000.0,Unfurnished,4,4,"Connected,Individual,Room-attached",0,0,0,0,3440.0,Area,Karnatka
Bangalore,Whitefield,Apartment,13700000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",0,0,0,0,1250.0,Area,Karnatka
Bangalore,Bellandur,Apartment,29000000.0,Unfurnished,3,3,Individual,0,0,0,0,1607.0,Area,Karnatka
Bangalore,Jp Nagar,Apartment,10500000.0,Unfurnished,2,2,Connected,0,0,0,0,1130.0,Area,Karnatka
Bangalore,Bannerghatta Road,Apartment,19500000.0,Unfurnished,3,3,Room-attached,0,0,0,0,1804.0,Area,Karnatka
Bangalore,Jakkur,Apartment,12000000.0,Unfurnished,2,2,Connected,0,0,0,0,1022.0,Area,Karnatka
Bangalore,Budigere Cross,Apartment,17100000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",0,0,0,0,1517.0,Area,Karnatka
Bangalore,Whitefield,Apartment,25900000.0,Unfurnished,4,4,Connected,0,0,1,0,3250.0,Area,Karnatka
Bangalore,Haralur Road,Apartment,37500000.0,Unfurnished,3,3,Connected,0,0,0,0,1880.0,Area,Karnatka
Bangalore,Jp Nagar,Apartment,14000000.0,Unfurnished,3,3,Connected,0,0,0,0,1780.0,Area,Karnatka
Bangalore,Varthur,Apartment,15000000.0,Unfurnished,2,2,Connected,0,0,0,0,1216.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,15000000.0,Unfurnished,2,2,Connected,0,0,0,0,1115.0,Area,Karnatka
Bangalore,Jp Nagar,Apartment,14000000.0,Unfurnished,3,3,Connected,0,0,0,0,1530.0,Area,Karnatka
Bangalore,Bannerghatta Road,Apartment,17500000.0,Unfurnished,2,2,Connected,0,0,0,0,1130.0,Area,Karnatka
Bangalore,Old Madras Road,Apartment,23000000.0,Unfurnished,3,3,Connected,1,1,1,0,1570.0,Area,Karnatka
Bangalore,Hsr Layout,Apartment,26500000.0,Unfurnished,3,3,Connected,0,0,0,0,1804.0,Area,Karnatka
Bangalore,Banashankari 6th Stage,Apartment,5500000.0,Unfurnished,2,1,Connected,0,0,0,0,584.0,Area,Karnatka
Bangalore,Bannerghatta Road,Apartment,21000000.0,Unfurnished,2,3,Individual,1,1,1,0,1000.0,Area,Karnatka
Bangalore,Jp Nagar Phase 1,Apartment,38000000.0,Unfurnished,4,4,Connected,0,1,1,0,4395.0,Area,Karnatka
Bangalore,Devanahalli,Apartment,24100000.0,Unfurnished,3,4,"Connected,Individual,Room-attached",0,0,0,0,2195.0,Area,Karnatka
Bangalore,Yelahanka,Apartment,1150000.0,Unfurnished,3,3,Individual,1,1,1,0,1540.0,Area,Karnatka
Bangalore,Horamavu,Independent House,18500000.0,Unfurnished,4,3,"Connected,Room-attached",0,0,0,0,3900.0,Area,Karnatka
Bangalore,Harlur,Villa,55000000.0,Unfurnished,3,3,Room-attached,0,0,0,0,3200.0,Area,Karnatka
Bangalore,Sahakara Nagar,Apartment,14800000.0,Unfurnished,3,2,Room-attached,0,0,0,0,1757.0,Area,Karnatka
Bangalore,Hulimavu,Penthouse,13500000.0,Unfurnished,4,3,"Connected,Room-attached",0,0,0,0,2400.0,Area,Karnatka
Bangalore,Hulimavu,Apartment,20000000.0,Unfurnished,6,4,"Individual,Room-attached",0,0,0,0,2910.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,12500000.0,Unfurnished,2,2,Connected,0,0,0,0,1059.0,Area,Karnatka
Bangalore,Hebbal,Apartment,36000000.0,Unfurnished,4,1,Individual,1,1,1,0,2376.0,Area,Karnatka
Bangalore,Singasandra,Apartment,7800000.0,Unfurnished,3,2,Connected,0,0,0,0,1841.0,Area,Karnatka
Bangalore,Mg Road,Apartment,95000000.0,Unfurnished,4,6,"Connected,Individual,Room-attached",0,0,0,0,4900.0,Area,Karnatka
Bangalore,Budigere,Apartment,13500000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",0,0,0,0,1200.0,Area,Karnatka
Bangalore,Hennur Road,Apartment,13000000.0,Unfurnished,2,2,Individual,1,1,1,0,1369.0,Area,Karnatka
Bangalore,Hebbal,Apartment,28000000.0,Unfurnished,3,3,Individual,0,1,1,0,1655.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,11500000.0,Unfurnished,2,2,Individual,0,1,1,0,1098.0,Area,Karnatka
Bangalore,Kr Puram,Apartment,14700000.0,Unfurnished,3,3,"Connected,Individual,Room-attached",0,0,0,0,1705.0,Area,Karnatka
Bangalore,Thanisandra,Builder Floor,27500000.0,Unfurnished,6,6,Connected,0,0,0,0,6000.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,48000000.0,Unfurnished,4,4,Individual,0,0,0,0,3242.0,Area,Karnatka
Bangalore,Kothanur,Villa,45000000.0,Unfurnished,3,3,Connected,1,1,1,0,2400.0,Area,Karnatka
Bangalore,Frazer Town,Apartment,30000000.0,Unfurnished,3,3,Individual,0,0,0,0,3198.0,Area,Karnatka
Bangalore,Hebbal,Apartment,30000000.0,Unfurnished,3,3,Individual,0,0,0,0,1700.0,Area,Karnatka
Bangalore,Sarjapur,Apartment,9900000.0,Unfurnished,3,2,Individual,0,0,0,0,1335.0,Area,Karnatka
Bangalore,Budigere Cross,Apartment,43900000.0,Unfurnished,4,4,"Connected,Individual,Room-attached",1,1,1,0,3635.0,Area,Karnatka
Bangalore,Electronic City Phase ii,Apartment,5000000.0,Unfurnished,2,2,"Connected,Room-attached",0,0,0,0,1089.0,Area,Karnatka
Bangalore,Byrathi,Apartment,8500000.0,Unfurnished,3,3,Individual,0,0,0,0,1500.0,Area,Karnatka
