City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Chandigarh,North Mullanpur,Residential,10000000,Unfurnished,3,3,Room-attached,0,0,0,0,1575.0,Plot Area,Chandigarh
Chandigarh,Ambala Highway,Residential,16800000,Furnished,3,3,Connected,0,0,0,0,2400.0,Built-up Area,Chandigarh
Chandigarh,South Mullanpur,Residential,14200000,Semi-Furnished,3,3,Room-attached,0,0,0,2,1880.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,12500000,Unfurnished,3,2,Room-attached,1,0,1,2,1680.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,14000000,Semi-Furnished,3,3,Connected,0,0,0,2,1885.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,10500000,Unfurnished,3,3,Room-attached,1,0,0,1,1702.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,10500000,Semi-Furnished,3,3,Room-attached,0,0,0,1,1725.0,Built-up Area,Chandigarh
Chandigarh,South Mullanpur,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,297.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,13500000,Semi-Furnished,4,4,Room-attached,0,0,0,0,1890.0,Carpet Area,Chandigarh
Chandigarh,North Mullanpur,Residential,10000000,Unfurnished,3,3,Room-attached,0,0,1,0,900.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,11200000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,5,1114.0,Built-up Area,Chandigarh
Chandigarh,Ambala Highway,Residential,2100000,Unfurnished,3,3,Room-attached,0,0,0,0,900.0,Plot Area,Chandigarh
Chandigarh,KharaR-Banur Road,Residential,7205000,Unfurnished,2,3,Room-attached,0,1,1,0,1225.0,Built-up Area,Chandigarh
Chandigarh,Bir Chhat,Residential,8500000,Unfurnished,3,3,Room-attached,1,1,1,2,1488.0,Saleable Area,Chandigarh
Chandigarh,North Mullanpur,Residential,35300000,Unfurnished,3,3,Room-attached,1,0,1,0,4221.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,12500000,Semi-Furnished,3,3,Connected,0,0,0,2,1760.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,45000000,Unfurnished,3,3,Room-attached,1,1,0,0,4500.0,Plot Area,Chandigarh
Chandigarh,Ambala Highway,Commercial,0,Furnished,0,0,Room-attached,0,0,0,12,526.0,Saleable Area,Chandigarh
Chandigarh,North Mullanpur,Residential,10500000,Semi-Furnished,3,3,Connected,0,0,0,2,1775.0,Built-up Area,Chandigarh
Chandigarh,Central Derabassi,Residential,2490000,Semi-Furnished,2,2,Connected,0,0,0,1,837.0,Built-up Area,Chandigarh
Chandigarh,Pir Machalla,Residential,6200000,Semi-Furnished,3,3,Connected,0,0,0,2,1680.0,Saleable Area,Chandigarh
Chandigarh,Central Derabassi,Residential,6800000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,1,1700.0,Saleable Area,Chandigarh
Chandigarh,North Mullanpur,Residential,13000000,Semi-Furnished,3,4,Connected,0,0,0,5,2065.0,Built-up Area,Chandigarh
