City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Chennai,Kottivakkam,Residential,60000000,Unfurnished,3,2,Room-attached,0,0,0,2,2900.0,Tamil Nadu,Built-up Area
Chennai,Uthandi,Residential,75000000,Semi-Furnished,6,2,Connected,0,0,0,7,8000.0,Tamil Nadu,Built-up Area
Chennai,Kottivakkam,Residential,14500000,Semi-Furnished,2,2,"Connected,Room-attached",0,0,0,2,1723.0,Tamil Nadu,Saleable Area
Chennai,Thaiyur,Residential,2131000,Unfurnished,2,2,Connected,0,0,0,0,969.0,Tamil Nadu,Plot Area
Chennai,Korattur,Residential,9500000,Semi-Furnished,2,2,Connected,0,0,0,1,1336.0,Tamil Nadu,Built-up Area
Chennai,Vichoor,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,43560.0,Tamil Nadu,Plot Area
Chennai,Valasaravakkam,Residential,8500000,Semi-Furnished,2,2,Connected,0,0,0,1,1050.0,Tamil Nadu,Built-up Area
Chennai,Nemmeli,Residential,6200000,Semi-Furnished,2,2,Room-attached,0,0,0,1,730.0,Tamil Nadu,Built-up Area
Chennai,Mambakkam,Residential,8800000,Unfurnished,4,4,Connected,0,0,1,1,1500.0,Tamil Nadu,Built-up Area
Chennai,Kelambakkam,Residential,8500000,Unfurnished,3,3,Connected,0,0,0,1,1350.0,Tamil Nadu,Built-up Area
Chennai,Kk Nagar,Residential,12400000,Semi-Furnished,3,3,"Individual,Room-attached",0,0,0,2,1246.0,Tamil Nadu,Built-up Area
Chennai,Adyar,Residential,39200000,Furnished,3,3,"Connected,Room-attached",0,0,0,2,1964.0,Tamil Nadu,Built-up Area
Chennai,Medavakkam,Residential,20500000,Unfurnished,2,3,"Connected,Individual,Room-attached",1,1,1,1,2316.0,Tamil Nadu,Saleable Area
Chennai,Parrys,Commercial,0,Semi-Furnished,0,0,No Balcony,0,0,0,4,12400.0,Tamil Nadu,Built-up Area
Chennai,Teynampet,Residential,22800000,Unfurnished,3,3,Room-attached,0,1,0,1,1342.0,Tamil Nadu,Built-up Area
Chennai,Madambakkam,Residential,3564000,Unfurnished,2,2,Connected,0,0,1,0,9720.0,Tamil Nadu,Plot Area
Chennai,Guindy,Commercial,0,Furnished,0,0,Connected,0,0,0,11,25000.0,Tamil Nadu,Built-up Area
Chennai,Pallavaram,Residential,16000000,Semi-Furnished,4,3,Individual,0,0,0,1,1800.0,Tamil Nadu,Built-up Area
Chennai,Villivakkam,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,1000.0,Tamil Nadu,Plot Area
Chennai,Madipakkam,Residential,12000000,Unfurnished,3,3,Connected,0,0,0,1,1509.0,Tamil Nadu,Saleable Area
Chennai,Thoraipakkam,Commercial,0,Semi-Furnished,0,0,Connected,0,0,0,11,110000.0,Tamil Nadu,Built-up Area
Chennai,Perungudi,Residential,9976000,Unfurnished,3,3,Room-attached,0,0,0,1,1247.0,Tamil Nadu,Saleable Area
Chennai,Thiruninravur,Residential,3500000,Semi-Furnished,1,1,"Connected,Room-attached",0,0,0,1,650.0,Tamil Nadu,Built-up Area
