City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Coimbatore,Vadavalli,Residential,5500000,Unfurnished,3,3,Connected,0,0,0,0,1874.0,Tamil Nadu,Plot Area
Coimbatore,Singanallur,Residential,6600000,Unfurnished,2,2,Room-attached,0,0,0,1,1325.0,Tamil Nadu,Built-up Area
Coimbatore,Madukkarai,Residential,8700000,Furnished,3,3,"Individual,Room-attached",0,0,0,3,1700.0,Tamil Nadu,Built-up Area
Coimbatore,Kinathukadavu,Residential,7000000,Unfurnished,3,3,Connected,0,0,0,0,1742.0,Tamil Nadu,Plot Area
Coimbatore,Saravanampatti,Residential,1500000,Unfurnished,3,3,Connected,0,0,0,0,850.0,Tamil Nadu,Plot Area
Coimbatore,Thudiyalur,Residential,13000000,Semi-Furnished,2,4,Connected,0,0,0,2,3500.0,Tamil Nadu,Built-up Area
Coimbatore,Othakalmandapam,Residential,6700000,Unfurnished,3,4,"Connected,Individual,Room-attached",0,0,0,2,1950.0,Tamil Nadu,Built-up Area
Coimbatore,Thondamuthur Road,Residential,16000000,Unfurnished,3,3,Connected,0,0,0,0,3339.0,Tamil Nadu,Plot Area
Coimbatore,Arasampalayam,Residential,900000,Unfurnished,3,3,Connected,0,0,0,0,1200.0,Tamil Nadu,Plot Area
Coimbatore,Saravanampatti,Residential,1350000,Unfurnished,3,3,Connected,0,0,0,0,1350.0,Tamil Nadu,Plot Area
Coimbatore,Cheran Ma Nagar,Residential,8700000,Unfurnished,3,3,Connected,0,0,0,0,1820.0,Tamil Nadu,Plot Area
Coimbatore,Thadagam Main Road,Residential,11100000,Unfurnished,2,2,Connected,1,0,1,1,1112.0,Tamil Nadu,Built-up Area
Coimbatore,Gandhipuram,Residential,3500000,Unfurnished,3,3,Connected,0,0,0,0,2280.0,Tamil Nadu,Plot Area
Coimbatore,Saravanampatti,Residential,30000000,Unfurnished,4,3,Connected,0,0,1,4,3550.0,Tamil Nadu,Built-up Area
Coimbatore,Veerapandi,Residential,4600000,Semi-Furnished,2,2,Connected,0,0,1,2,1274.0,Tamil Nadu,Built-up Area
Coimbatore,Periyanaickenpalayam,Residential,5800000,Unfurnished,2,3,Connected,0,0,0,2,1100.0,Tamil Nadu,Built-up Area
Coimbatore,Vellalore,Residential,7800000,Unfurnished,3,3,Connected,0,0,0,0,2484.0,Tamil Nadu,Plot Area
Coimbatore,Kinathukadavu,Residential,9000000,Unfurnished,3,3,Connected,0,0,0,0,17420.0,Tamil Nadu,Plot Area
Coimbatore,Kalapatti,Residential,27500000,Unfurnished,6,3,Connected,0,0,0,3,3470.0,Tamil Nadu,Built-up Area
Coimbatore,Othakalmandapam,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,7840.0,Tamil Nadu,Plot Area
Coimbatore,Chettipalayam,Residential,4155000,Unfurnished,3,3,Connected,0,0,0,0,2129.0,Tamil Nadu,Plot Area
Coimbatore,Saravanampatti,Residential,6500000,Furnished,4,3,Connected,0,0,0,3,1266.0,Tamil Nadu,Built-up Area
Coimbatore,Kalapatti,Residential,19000000,Semi-Furnished,4,4,Room-attached,0,0,0,1,1920.0,Tamil Nadu,Built-up Area
