City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Delhi,Sector 16b Dwarka,Residential,2600000,Semi-Furnished,1,1,Room-attached,0,0,0,3,425.0,Delhi,Saleable Area
Delhi,Vivek Vihar Phase 1,Residential,27500000,Semi-Furnished,3,2,Connected,0,0,0,3,200.0,Delhi,Built-up Area
Delhi,Chitra Vihar,Residential,35000000,Semi-Furnished,4,4,"Connected,Room-attached",0,0,0,2,1440.0,Delhi,Built-up Area
Delhi,Uttam Nagar,Residential,7000000,Semi-Furnished,4,2,Connected,0,0,0,1,1337.0,Delhi,Built-up Area
Delhi,"Sector 9, Dwarka",Residential,23000000,Unfurnished,3,2,Individual,0,0,0,1,1500.0,Delhi,Built-up Area
Delhi,Raja Puri,Residential,4300000,Semi-Furnished,3,3,Room-attached,0,0,0,1,675.0,Delhi,Built-up Area
Delhi,Uttam Nagar West,Residential,3600000,Semi-Furnished,2,2,Room-attached,0,0,0,1,675.0,Delhi,Carpet Area
Delhi,Mohan Garden,Residential,5500000,Semi-Furnished,3,2,Connected,0,0,0,1,810.0,Delhi,Built-up Area
Delhi,Lajpat Nagar 4,Residential,14500000,Furnished,2,2,Individual,0,0,0,2,900.0,Delhi,Built-up Area
Delhi,Sector 11 Dwarka,Residential,29000000,Unfurnished,3,3,Individual,0,0,0,2,2000.0,Delhi,Built-up Area
Delhi,"Sector 9, Dwarka",Residential,26800000,Furnished,2,2,Connected,0,0,0,1,1600.0,Delhi,Saleable Area
Delhi,"Sector 18, Dwarka",Residential,35000000,Furnished,2,3,Connected,0,0,0,1,1800.0,Delhi,Saleable Area
Delhi,"Sector 6, Dwarka",Residential,35200000,Semi-Furnished,4,3,Connected,0,0,0,1,2200.0,Delhi,Built-up Area
Delhi,Sector 10 Dwarka,Residential,25000000,Semi-Furnished,3,2,Connected,0,0,0,1,1600.0,Delhi,Saleable Area
Delhi,"Sector 4, Dwarka",Residential,24500000,Semi-Furnished,3,2,Connected,0,0,0,2,1700.0,Delhi,Built-up Area
Delhi,Jain Nagar,Residential,2200000,Unfurnished,2,3,Connected,0,0,0,0,450.0,Delhi,Plot Area
Delhi,"Sector 6, Dwarka",Residential,23500000,Unfurnished,2,2,Connected,0,0,1,2,1600.0,Delhi,Saleable Area
Delhi,Nawada,Residential,5500000,Semi-Furnished,3,2,Connected,0,0,0,2,720.0,Delhi,Built-up Area
Delhi,Uttam Nagar,Residential,2800000,Unfurnished,2,2,Connected,0,0,0,1,738.0,Delhi,Built-up Area
Delhi,Sector 12 Dwarka,Residential,29900000,Semi-Furnished,3,3,Connected,0,0,0,2,1750.0,Delhi,Saleable Area
Delhi,"Sector 5, Dwarka",Residential,27200000,Semi-Furnished,3,2,Connected,0,0,0,2,1400.0,Delhi,Saleable Area
Delhi,"Sector 17, Dwarka",Residential,12000000,Semi-Furnished,2,2,Connected,0,0,0,2,900.0,Delhi,Built-up Area
Delhi,Sector 12 Dwarka,Residential,29000000,Unfurnished,3,3,Individual,0,0,0,2,1750.0,Delhi,Saleable Area
Delhi,Moti Nagar,Residential,37000000,Semi-Furnished,2,2,"Connected,Individual,Room-attached",0,0,0,1,1750.0,Delhi,Saleable Area
Delhi,"Sector 5, Dwarka",Residential,24500000,Unfurnished,2,2,Connected,0,0,1,1,1850.0,Delhi,Saleable Area
Delhi,Sector 12 Dwarka,Residential,24500000,Unfurnished,2,2,Connected,1,1,1,2,1300.0,Delhi,Carpet Area
Delhi,Sector 10 Dwarka,Residential,18500000,Semi-Furnished,2,2,Connected,0,0,0,2,1200.0,Delhi,Built-up Area
Delhi,New Rajinder Nagar,Residential,20000000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,3,1800.0,Delhi,Built-up Area
Delhi,Sector 12 Dwarka,Commercial,0,Furnished,0,0,Connected,0,0,0,5,900.0,Delhi,Built-up Area
Delhi,East Patel Nagar,Residential,55000000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,3,1800.0,Delhi,Built-up Area
Delhi,Burari,Residential,4200000,Semi-Furnished,2,3,Connected,0,0,0,0,765.0,Delhi,Built-up Area
Delhi,Bhagwati Garden,Residential,6500000,Semi-Furnished,3,2,Connected,0,0,0,1,100.0,Delhi,Built-up Area
Delhi,Vikas Puri,Residential,34000000,Semi-Furnished,4,4,Individual,0,0,0,3,2250.0,Delhi,Built-up Area
Delhi,Chattarpur,Residential,7500000,Semi-Furnished,3,2,Connected,0,0,0,1,1125.0,Delhi,Built-up Area
Delhi,Chattarpur,Residential,7000000,Semi-Furnished,3,2,Room-attached,0,0,0,2,1100.0,Delhi,Built-up Area
Delhi,Vikas Puri,Residential,17000000,Semi-Furnished,3,3,Individual,0,0,0,2,1125.0,Delhi,Built-up Area
Delhi,New Friends Colony,Residential,68000000,Semi-Furnished,4,4,Connected,0,0,0,2,4644.0,Delhi,Built-up Area
Delhi,Mahavir Enclave 1,Residential,3300000,Semi-Furnished,3,2,Room-attached,0,0,0,1,1000.0,Delhi,Built-up Area
Delhi,Dayanand Vihar,Residential,22500000,Semi-Furnished,3,3,Connected,0,0,0,3,195.0,Delhi,Built-up Area
Delhi,Anand Vihar,Residential,27000000,Semi-Furnished,3,2,Connected,0,0,0,3,153.0,Delhi,Built-up Area
Delhi,Uttam Nagar,Residential,4951000,Furnished,3,2,Connected,0,0,0,2,850.0,Delhi,Built-up Area
Delhi,Chattarpur,Residential,5000000,Semi-Furnished,2,2,Connected,0,0,0,2,810.0,Delhi,Built-up Area
Delhi,Dera Mandi,Residential,6800000,Semi-Furnished,3,2,Connected,0,0,0,1,1215.0,Delhi,Built-up Area
