City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Hyderabad,Pragathi Nagar,Residential,8300000,Unfurnished,2,2,Individual,1,0,1,1,1295.0,Telangana,Saleable Area
Hyderabad,Tellapur,Residential,18500000,Unfurnished,3,3,Individual,1,1,1,2,1840.0,Telangana,Saleable Area
Hyderabad,Kokapet,Residential,32400000,Unfurnished,2,4,Connected,1,1,1,3,3242.0,Telangana,Saleable Area
Hyderabad,Kokapet,Residential,75900000,Unfurnished,2,4,Connected,1,1,1,3,6333.0,Telangana,Saleable Area
Hyderabad,Kokapet,Residential,17900000,Unfurnished,2,3,Connected,1,1,1,3,2124.0,Telangana,Saleable Area
Hyderabad,Puppalaguda,Residential,43900000,Unfurnished,2,4,Connected,1,1,1,3,4999.0,Telangana,Saleable Area
Hyderabad,Rai Durg,Residential,55400000,Unfurnished,2,4,Connected,1,1,1,3,4955.0,Telangana,Saleable Area
Hyderabad,Kokapet,Residential,21800000,Unfurnished,2,3,Connected,1,1,1,3,2003.0,Telangana,Saleable Area
Hyderabad,Rajendra Nagar,Residential,20000000,Unfurnished,2,2,Connected,1,1,0,4,1534.0,Telangana,Built-up Area
Hyderabad,Financial District,Residential,22000000,Unfurnished,3,3,"Connected,Room-attached",0,0,0,2,2220.0,Telangana,Saleable Area
Hyderabad,Vanasthalipuram,Residential,7500000,Unfurnished,2,3,Connected,0,0,0,0,1350.0,Telangana,Plot Area
Hyderabad,Nizampet,Residential,5800000,Furnished,2,2,"Connected,Room-attached",0,0,0,2,1180.0,Telangana,Saleable Area
Hyderabad,Choutuppal,Residential,2400000,Unfurnished,2,3,Connected,0,0,0,0,2700.0,Telangana,Plot Area
Hyderabad,Peerzadiguda,Residential,3500000,Semi-Furnished,2,2,Connected,0,0,0,1,800.0,Telangana,Built-up Area
Hyderabad,Shaikpet,Residential,19600000,Semi-Furnished,3,3,"Connected,Room-attached",0,0,0,2,2080.0,Telangana,Built-up Area
Hyderabad,Sainikpuri,Residential,26000000,Unfurnished,4,5,"Connected,Individual,Room-attached",0,0,0,4,2400.0,Telangana,Built-up Area
Hyderabad,Peddapur,Residential,5772000,Unfurnished,2,3,Connected,0,0,0,0,1998.0,Telangana,Plot Area
Hyderabad,Narsingi,Residential,22400000,Unfurnished,3,3,Individual,1,1,0,2,2020.0,Telangana,Built-up Area
Hyderabad,Nacharam,Residential,13500000,Unfurnished,3,3,Individual,1,1,1,1,1715.0,Telangana,Built-up Area
Hyderabad,Gopanpally,Residential,17200000,Unfurnished,3,3,Individual,1,1,1,2,1785.0,Telangana,Built-up Area
Hyderabad,Kothur,Residential,2200000,Unfurnished,2,3,Connected,0,0,0,0,1980.0,Telangana,Plot Area
Hyderabad,Lb Nagar,Residential,9300000,Unfurnished,2,2,Individual,0,0,1,1,1381.0,Telangana,Saleable Area
Hyderabad,Shadnagar,Residential,3300000,Unfurnished,2,3,Connected,0,0,0,0,1314.0,Telangana,Plot Area
Hyderabad,Nallagandla,Residential,13000000,Furnished,2,2,Connected,0,0,0,1,1270.0,Telangana,Built-up Area
Hyderabad,Nandikandi,Residential,3052000,Unfurnished,2,3,Connected,0,0,0,0,1485.0,Telangana,Plot Area
Hyderabad,Kokapet,Residential,16000000,Unfurnished,2,2,Individual,1,1,0,1,1390.0,Telangana,Built-up Area
Hyderabad,Bachupally,Residential,8800000,Unfurnished,2,2,Individual,1,1,1,1,1388.0,Telangana,Saleable Area
Hyderabad,Nandikandi,Residential,5032000,Unfurnished,2,3,Connected,1,0,1,0,2448.0,Telangana,Plot Area
Hyderabad,Peddapur,Residential,3000000,Unfurnished,2,3,Connected,0,0,0,0,1350.0,Telangana,Plot Area
Hyderabad,Shadnagar,Residential,1600000,Unfurnished,2,3,Connected,0,0,0,0,1323.0,Telangana,Plot Area
Hyderabad,Gachibowli,Residential,19000000,Furnished,3,3,"Individual,Room-attached",0,0,0,1,1692.0,Telangana,Built-up Area
Hyderabad,Shadnagar,Residential,2500000,Unfurnished,2,3,Connected,1,1,1,0,1710.0,Telangana,Plot Area
Hyderabad,Adibatla,Residential,6400000,Unfurnished,2,3,Connected,0,0,0,0,1800.0,Telangana,Plot Area
Hyderabad,Nandikandi,Residential,3800000,Unfurnished,2,3,Connected,0,0,0,0,1800.0,Telangana,Plot Area
Hyderabad,Nawabpet,Residential,2505000,Unfurnished,2,3,Connected,0,0,0,0,1503.0,Telangana,Plot Area
Hyderabad,Dammaiguda,Residential,3500000,Semi-Furnished,2,2,Connected,0,0,0,1,940.0,Telangana,Built-up Area
Hyderabad,Shamirpet,Residential,54000000,Unfurnished,2,3,Connected,0,0,1,0,1647.0,Telangana,Plot Area
