City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Jaipur,Bani Park,Residential,15400000,Unfurnished,3,3,"Connected,Individual,Room-attached",1,0,1,1,1970.0,Rajasthan,Built-up Area
Jaipur,Bani Park,Residential,14100000,Unfurnished,3,3,"Connected,Individual,Room-attached",1,0,1,1,1810.0,Rajasthan,Built-up Area
Jaipur,Vishnupuri,Residential,22500000,Furnished,3,3,"Connected,Room-attached",0,0,0,1,2095.0,Rajasthan,Saleable Area
Jaipur,Jagatpura,Residential,4500000,Semi-Furnished,3,3,Connected,0,0,0,1,1500.0,Rajasthan,Saleable Area
Jaipur,Mohanpura,Residential,5000000,Semi-Furnished,3,3,"Individual,Room-attached",0,0,0,1,1370.0,Rajasthan,Built-up Area
Jaipur,Durgapura,Residential,7400000,Semi-Furnished,3,3,"Individual,Room-attached",0,0,0,3,1568.0,Rajasthan,Built-up Area
Jaipur,Ajmer Road,Residential,1795000,Unfurnished,3,3,Connected,0,0,0,0,900.0,Rajasthan,Plot Area
Jaipur,Mahapura,Residential,1795000,Unfurnished,3,3,Connected,0,0,0,0,900.0,Rajasthan,Plot Area
Jaipur,Maharajpura,Residential,2710000,Unfurnished,3,3,Connected,0,0,0,0,1359.0,Rajasthan,Plot Area
Jaipur,Ajmer Road,Residential,5549000,Unfurnished,3,3,Connected,0,0,0,0,999.0,Rajasthan,Plot Area
Jaipur,Chitrakoot,Residential,4500000,Semi-Furnished,3,2,Room-attached,0,0,0,1,1100.0,Rajasthan,Built-up Area
Jaipur,Gandhi Path,Residential,6697000,Unfurnished,3,3,Connected,0,0,0,1,1377.0,Rajasthan,Saleable Area
Jaipur,Jaisinghpura,Residential,3523000,Unfurnished,3,3,Connected,0,0,0,0,882.0,Rajasthan,Plot Area
Jaipur,JaipuR-Ajmer Express Highway,Residential,1830000,Unfurnished,3,3,Connected,0,0,1,0,918.0,Rajasthan,Plot Area
Jaipur,Ramnagar Extension,Residential,14000000,Semi-Furnished,3,3,"Connected,Room-attached",0,0,0,1,1620.0,Rajasthan,Saleable Area
Jaipur,Diggi Road,Residential,1200000,Unfurnished,3,3,Connected,0,0,0,0,900.0,Rajasthan,Plot Area
Jaipur,Tirupati Vihar,Residential,5170000,Semi-Furnished,2,2,"Individual,Room-attached",0,0,0,1,1100.0,Rajasthan,Built-up Area
Jaipur,Dahmi Kalan,Residential,40500000,Unfurnished,3,3,Connected,0,0,0,0,1765.0,Rajasthan,Plot Area
Jaipur,Sikar Road,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,2800.0,Rajasthan,Plot Area
Jaipur,Manchwa,Residential,3017000,Unfurnished,3,3,Connected,0,0,0,0,1296.0,Rajasthan,Plot Area
Jaipur,Vaishali Nagar,Residential,5274000,Unfurnished,3,3,Connected,0,0,0,0,1080.0,Rajasthan,Plot Area
Jaipur,Boytawala,Residential,24800000,Unfurnished,3,3,Connected,0,0,0,0,4392.0,Rajasthan,Plot Area
Jaipur,Ganpati Nagar,Residential,3500000,Semi-Furnished,2,2,Connected,0,0,0,1,1000.0,Rajasthan,Built-up Area
Jaipur,Khejdo Ka Vas,Residential,6200000,Semi-Furnished,3,2,Room-attached,0,0,0,1,1380.0,Rajasthan,Carpet Area
Jaipur,Bhankrota,Residential,2575000,Furnished,3,1,Connected,0,0,0,2,512.0,Rajasthan,Saleable Area
Jaipur,Muhana,Residential,8444000,Unfurnished,3,3,Connected,1,1,1,2,2111.0,Rajasthan,Saleable Area
Jaipur,Ajmer Road,Residential,1812000,Unfurnished,3,3,Connected,0,0,0,0,909.0,Rajasthan,Plot Area
Jaipur,Ajmer Road,Residential,15100000,Unfurnished,4,4,Individual,0,0,0,2,2450.0,Rajasthan,Saleable Area
Jaipur,Tonk Road,Residential,11500000,Semi-Furnished,3,3,Individual,0,0,0,2,1440.0,Rajasthan,Built-up Area
Jaipur,Bani Park,Residential,90000000,Unfurnished,3,2,Connected,1,0,1,3,1653.0,Rajasthan,Saleable Area
Jaipur,Sikar Road,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,2800.0,Rajasthan,Built-up Area
Jaipur,Jaisinghpura,Residential,5500000,Unfurnished,3,3,Connected,0,0,1,0,891.0,Rajasthan,Plot Area
Jaipur,Vaishali Nagar,Residential,8442000,Unfurnished,3,3,Connected,1,1,1,1,1535.0,Rajasthan,Saleable Area
Jaipur,Bani Park,Residential,19300000,Unfurnished,4,4,"Connected,Individual,Room-attached",1,0,1,2,2470.0,Rajasthan,Built-up Area
Jaipur,Bani Park,Residential,20400000,Unfurnished,4,4,"Connected,Individual,Room-attached",1,0,1,2,2620.0,Rajasthan,Built-up Area
Jaipur,Narayanpuri,Residential,7300000,Semi-Furnished,3,3,Room-attached,0,0,0,2,1621.0,Rajasthan,Saleable Area
Jaipur,Nari Ka Bas,Residential,6500000,Semi-Furnished,4,4,Individual,0,0,0,2,1850.0,Rajasthan,Built-up Area
Jaipur,Jeerota,Residential,3500000,Furnished,1,1,Connected,0,0,0,1,548.0,Rajasthan,Built-up Area
Jaipur,Vaishali Nagar,Residential,10900000,Unfurnished,3,4,Connected,0,0,0,1,1877.0,Rajasthan,Saleable Area
Jaipur,Bani Park,Residential,7000000,Unfurnished,3,2,Connected,0,0,1,3,1653.0,Rajasthan,Saleable Area
Jaipur,Tonk Road,Residential,11000000,Unfurnished,3,3,Connected,0,0,0,0,1764.0,Rajasthan,Plot Area
Jaipur,Brijlalpura,Residential,1695000,Unfurnished,3,3,Connected,0,0,0,0,900.0,Rajasthan,Plot Area
Jaipur,Muhana,Residential,2300000,Unfurnished,3,3,Connected,0,0,0,0,981.0,Rajasthan,Plot Area
Jaipur,Ajmer Road,Residential,4200000,Unfurnished,3,3,Connected,0,0,0,0,1200.0,Rajasthan,Plot Area
