City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Kolkata,Malancha Mahi Nagar,Residential,3700000,Semi-Furnished,2,2,Connected,0,0,0,2,867.0,West Bengal,Saleable Area
Kolkata,Rajarhat,Residential,6500000,Unfurnished,3,2,"Connected,Individual,Room-attached",1,1,1,1,770.0,West Bengal,Saleable Area
Kolkata,Kokapur,Residential,6700000,Unfurnished,3,3,Individual,0,0,0,1,900.0,West Bengal,Carpet Area
Kolkata,Raja Ram Mohan Roy Road,Residential,2200000,Unfurnished,2,2,Individual,0,0,0,0,800.0,West Bengal,Saleable Area
Kolkata,Purba Barisha,Residential,4900000,Unfurnished,3,2,Connected,0,0,0,1,1263.0,West Bengal,Built-up Area
Kolkata,Em Bypass,Residential,8200000,Semi-Furnished,2,2,Connected,0,0,0,1,979.0,West Bengal,Built-up Area
Kolkata,Garia,Residential,3000000,Semi-Furnished,2,2,Room-attached,0,0,0,1,666.0,West Bengal,Built-up Area
Kolkata,Baruipur,Residential,23400000,Semi-Furnished,6,3,Connected,0,0,0,0,8380.0,West Bengal,Built-up Area
Kolkata,Ballygunge,Residential,20000000,Furnished,3,3,Connected,0,0,0,1,1650.0,West Bengal,Carpet Area
Kolkata,Behala,Residential,3500000,Unfurnished,2,2,Individual,0,0,0,1,783.0,West Bengal,Built-up Area
Kolkata,Joka,Residential,5200000,Unfurnished,2,2,Individual,1,1,1,1,940.0,West Bengal,Saleable Area
Kolkata,Belgharia,Residential,7500000,Semi-Furnished,4,3,Room-attached,0,0,0,0,2880.0,West Bengal,Saleable Area
Kolkata,Salt Lake City,Residential,11000000,Furnished,3,2,Individual,0,0,0,1,1543.0,West Bengal,Saleable Area
Kolkata,Rajarhat,Residential,9700000,Unfurnished,3,2,"Individual,Room-attached",1,1,1,1,800.0,West Bengal,Built-up Area
Kolkata,Kasba,Residential,6000000,Unfurnished,3,3,Individual,0,0,0,1,1260.0,West Bengal,Built-up Area
Kolkata,Haltu,Residential,4000000,Unfurnished,2,2,Room-attached,0,0,0,1,800.0,West Bengal,Built-up Area
Kolkata,Purba Barisha,Residential,3200000,Unfurnished,2,2,Room-attached,0,0,0,1,800.0,West Bengal,Saleable Area
Kolkata,Behala Chowrasta,Residential,4200000,Unfurnished,3,2,Individual,0,0,0,0,1000.0,West Bengal,Built-up Area
Kolkata,Kasba,Residential,14000000,Semi-Furnished,3,3,Individual,0,0,0,1,1638.0,West Bengal,Built-up Area
Kolkata,Rabindra Nagar,Residential,2600000,Unfurnished,2,2,Connected,0,0,0,0,810.0,West Bengal,Built-up Area
Kolkata,Biswaspara,Residential,9400000,Unfurnished,3,3,Connected,0,0,1,1,1650.0,West Bengal,Built-up Area
Kolkata,AmtalA-Baruipur Road,Residential,3600000,Unfurnished,3,3,Connected,0,0,1,0,25200.0,West Bengal,Plot Area
Kolkata,Rajarhat New Town,Residential,7000000,Unfurnished,2,2,Connected,0,0,0,1,1250.0,West Bengal,Built-up Area
Kolkata,Joka,Residential,4900000,Unfurnished,2,2,Individual,1,1,1,1,817.0,West Bengal,Built-up Area
Kolkata,Joka,Residential,5500000,Semi-Furnished,2,2,Individual,0,0,0,1,813.0,West Bengal,Saleable Area
Kolkata,Nayabad,Residential,3600000,Semi-Furnished,2,2,Room-attached,0,0,0,0,910.0,West Bengal,Built-up Area
Kolkata,Rajpur,Residential,2400000,Unfurnished,3,2,Individual,0,0,0,1,1000.0,West Bengal,Built-up Area
Kolkata,Joka,Residential,7100000,Unfurnished,2,1,Connected,1,1,1,0,891.0,West Bengal,Built-up Area
Kolkata,Kalikapur,Residential,8500000,Unfurnished,3,2,Room-attached,0,0,0,1,1352.0,West Bengal,Built-up Area
Kolkata,Sakher Bazar,Residential,3400000,Unfurnished,2,2,Individual,0,0,0,1,750.0,West Bengal,Built-up Area
Kolkata,Sreerampur,Residential,2715000,Unfurnished,3,2,Connected,0,0,0,0,740.0,West Bengal,Built-up Area
Kolkata,Lake Gardens,Residential,7290000,Unfurnished,2,2,Room-attached,0,0,0,1,889.0,West Bengal,Saleable Area
Kolkata,Diamond Harbour Road,Residential,9400000,Semi-Furnished,2,3,Individual,0,1,1,1,1367.0,West Bengal,Built-up Area
Kolkata,Joka,Residential,5000000,Semi-Furnished,2,2,Individual,0,0,0,1,940.0,West Bengal,Saleable Area
Kolkata,Sahid Nagar,Residential,7600000,Unfurnished,3,2,Room-attached,0,0,0,1,1000.0,West Bengal,Built-up Area
