City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Lucknow,Faizabad Road,Residential,3635000,Semi-Furnished,3,2,"Connected,Individual",0,0,0,2,1144.0,Uttar Pradesh,Built-up Area
Lucknow,Kalli Paschim,Residential,10300000,Semi-Furnished,3,2,Connected,0,0,0,3,1450.0,Uttar Pradesh,Saleable Area
Lucknow,Gomti Nagar,Residential,9800000,Semi-Furnished,2,2,"Connected,Individual,Room-attached",0,0,0,1,1450.0,Uttar Pradesh,Saleable Area
Lucknow,Kalli Paschim,Residential,10400000,Semi-Furnished,3,2,Connected,0,0,0,3,1469.0,Uttar Pradesh,Saleable Area
Lucknow,Vrindavan Yojna,Residential,11600000,Unfurnished,3,3,"Individual,Room-attached",1,1,1,1,1781.0,Uttar Pradesh,Saleable Area
Lucknow,Gomti Nagar,Residential,25500000,Furnished,4,4,"Connected,Individual,Room-attached",0,0,0,1,3600.0,Uttar Pradesh,Built-up Area
Lucknow,Gomti Nagar,Residential,15500000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,4,1900.0,Uttar Pradesh,Saleable Area
Lucknow,Jankipuram,Residential,2200000,Unfurnished,2,2,Room-attached,0,0,1,1,700.0,Uttar Pradesh,Built-up Area
Lucknow,Aminabad,Residential,13000000,Furnished,1,1,Room-attached,0,0,0,2,2000.0,Uttar Pradesh,Built-up Area
Lucknow,Chinhat,Residential,7000000,Semi-Furnished,2,2,Room-attached,0,0,0,2,1275.0,Uttar Pradesh,Built-up Area
Lucknow,Banthra Sikander Pur,Residential,1350000,Unfurnished,2,3,Room-attached,0,0,0,0,1100.0,Uttar Pradesh,Plot Area
Lucknow,Nijampur Malhaur,Residential,2200000,Unfurnished,2,3,Room-attached,0,0,1,0,850.0,Uttar Pradesh,Plot Area
Lucknow,Sushant Golf City,Residential,33300000,Unfurnished,4,5,Room-attached,1,1,1,2,4599.0,Uttar Pradesh,Saleable Area
Lucknow,Gomti Nagar,Residential,6500000,Semi-Furnished,3,3,Room-attached,0,0,0,2,1000.0,Uttar Pradesh,Plot Area
Lucknow,Arjunganj,Residential,12500000,Semi-Furnished,4,3,Individual,0,0,0,2,3200.0,Uttar Pradesh,Built-up Area
Lucknow,Gomti Nagar,Residential,18100000,Unfurnished,3,4,Room-attached,0,0,0,1,2484.0,Uttar Pradesh,Saleable Area
Lucknow,Kursi Road,Residential,5200000,Unfurnished,3,3,Room-attached,0,0,0,1,1500.0,Uttar Pradesh,Built-up Area
Lucknow,Sarojini Nagar,Residential,1920000,Unfurnished,2,3,Room-attached,0,0,0,0,1200.0,Uttar Pradesh,Plot Area
Lucknow,Matiyari,Residential,999000,Unfurnished,2,3,Room-attached,0,0,0,0,1000.0,Uttar Pradesh,Plot Area
Lucknow,Kalli Paschim,Residential,6259000,Unfurnished,2,3,Room-attached,0,0,0,0,1377.0,Uttar Pradesh,Plot Area
Lucknow,Wazirganj,Residential,25600000,Unfurnished,4,5,"Connected,Room-attached",0,0,0,1,3425.0,Uttar Pradesh,Saleable Area
Lucknow,Muzaffar Nagar Ghusval,Residential,10300000,Unfurnished,2,2,Room-attached,1,1,1,1,1384.0,Uttar Pradesh,Saleable Area
Lucknow,Arjunganj,Residential,3360000,Unfurnished,2,3,Room-attached,0,0,0,0,1200.0,Uttar Pradesh,Plot Area
Lucknow,Amethi,Residential,5800000,Semi-Furnished,2,2,Room-attached,0,0,0,1,1000.0,Uttar Pradesh,Built-up Area
Lucknow,Mohanlalganj,Residential,900000,Unfurnished,2,3,Room-attached,0,0,0,0,1000.0,Uttar Pradesh,Plot Area
Lucknow,Dubagga,Residential,4320000,Unfurnished,2,3,Room-attached,0,0,0,0,1800.0,Uttar Pradesh,Plot Area
Lucknow,Manas Nagar,Residential,7250000,Unfurnished,4,3,Room-attached,0,0,1,0,1450.0,Uttar Pradesh,Built-up Area
Lucknow,Rajajipuram,Residential,10000000,Furnished,6,2,Individual,0,0,0,3,2200.0,Uttar Pradesh,Built-up Area
Lucknow,Takrohi,Residential,6500000,Unfurnished,4,2,Individual,0,0,0,2,1800.0,Uttar Pradesh,Built-up Area
Lucknow,Bakkas,Residential,4500000,Semi-Furnished,3,2,Individual,0,0,0,2,1300.0,Uttar Pradesh,Built-up Area
Lucknow,Vrindavan Yojna,Residential,7200000,Semi-Furnished,2,2,Room-attached,0,0,0,1,1265.0,Uttar Pradesh,Built-up Area
Lucknow,Vrindavan Yojna,Residential,12700000,Unfurnished,2,3,"Connected,Room-attached",1,1,1,1,1955.0,Uttar Pradesh,Saleable Area
Lucknow,Gomti Nagar,Residential,6000000,Furnished,3,3,Connected,0,0,0,1,1000.0,Uttar Pradesh,Built-up Area
