City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Mumbai,Worli,Residential,90000000,Semi-Furnished,2,2,Connected,0,0,0,3,1471.0,Maharashtra,Carpet Area
Mumbai,Mahim,Residential,33500000,Unfurnished,2,2,Connected,1,1,1,1,857.0,Maharashtra,Carpet Area
Mumbai,Dahisar East,Residential,8500000,Unfurnished,2,2,Individual,1,1,1,2,517.0,Maharashtra,Carpet Area
Mumbai,Khatau Estate,Residential,26500000,Semi-Furnished,3,3,Connected,0,0,0,1,1110.0,Maharashtra,Built-up Area
Mumbai,Borivali East,Residential,16200000,Unfurnished,2,2,Individual,1,0,0,1,644.0,Maharashtra,Carpet Area
Mumbai,Dahisar East,Residential,9400000,Unfurnished,1,2,Connected,0,0,1,0,400.0,Maharashtra,Carpet Area
Mumbai,Bhayandar East,Residential,10500000,Unfurnished,2,2,Room-attached,0,0,1,1,900.0,Maharashtra,Carpet Area
Mumbai,Khar West,Residential,66000000,Furnished,2,3,Connected,0,0,0,5,1100.0,Maharashtra,Built-up Area
Mumbai,Dhakoji Sethpada,Residential,22500000,Semi-Furnished,2,3,Connected,0,0,0,3,800.0,Maharashtra,Built-up Area
Mumbai,Goregaon West,Residential,27500000,Semi-Furnished,2,2,Connected,0,0,0,3,545.0,Maharashtra,Built-up Area
Mumbai,Malad East,Commercial,0,Furnished,0,0,No Balcony,0,0,0,0,1600.0,Maharashtra,Carpet Area
Mumbai,Linking Road,Residential,120000000,Unfurnished,4,4,Connected,0,0,1,2,2300.0,Maharashtra,Carpet Area
Mumbai,Prabhadevi,Residential,55000000,Semi-Furnished,4,4,Room-attached,0,0,0,2,1100.0,Maharashtra,Built-up Area
Mumbai,Mira Road,Residential,6000000,Unfurnished,1,1,Room-attached,0,0,0,1,360.0,Maharashtra,Carpet Area
Mumbai,Borivali East,Residential,35000000,Unfurnished,2,3,Individual,1,1,1,1,1006.0,Maharashtra,Carpet Area
Mumbai,Naigaon East,Residential,4975000,Unfurnished,2,1,Individual,0,1,1,2,585.0,Maharashtra,Carpet Area
Mumbai,Borivali East,Residential,17800000,Unfurnished,2,2,Individual,0,0,0,2,636.0,Maharashtra,Carpet Area
Mumbai,Pali Hill,Residential,450000000,Semi-Furnished,5,5,Connected,0,0,0,7,4000.0,Maharashtra,Built-up Area
Mumbai,Prabhadevi,Residential,47500000,Furnished,2,3,Connected,0,0,0,1,1035.0,Maharashtra,Carpet Area
Mumbai,Prabhadevi,Residential,50000000,Semi-Furnished,2,3,Connected,0,0,0,2,950.0,Maharashtra,Carpet Area
Mumbai,Borivali West,Residential,45000000,Unfurnished,2,3,Individual,1,0,1,2,1064.0,Maharashtra,Carpet Area
Mumbai,Hindu Colony,Residential,90000000,Semi-Furnished,4,5,Connected,0,0,0,2,1900.0,Maharashtra,Carpet Area
Mumbai,Khar West,Residential,80000000,Unfurnished,3,4,Room-attached,0,0,0,2,16003.0,Maharashtra,Built-up Area
Mumbai,Jogeshwari West,Residential,17500000,Unfurnished,2,2,Connected,0,0,1,1,687.0,Maharashtra,Carpet Area
Mumbai,Borivali East,Residential,17500000,Semi-Furnished,2,2,Individual,0,0,0,2,650.0,Maharashtra,Carpet Area
