City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Nagpur,Beltarodi,Residential,5350000,Unfurnished,2,2,"Connected,Room-attached",0,0,0,2,1200.0,Maharashtra,Saleable Area
Nagpur,Besa Pipla rd,Residential,4500000,Unfurnished,2,2,Connected,0,0,0,0,1100.0,Maharashtra,Plot Area
Nagpur,Nagalwadi,Residential,2000000,Unfurnished,2,2,Connected,0,0,0,0,1200.0,Maharashtra,Plot Area
Nagpur,Borkhedi,Residential,2130000,Unfurnished,2,2,Connected,0,0,0,0,1775.0,Maharashtra,Plot Area
Nagpur,Dabha,Residential,8900000,Unfurnished,2,2,Connected,0,0,0,0,2780.0,Maharashtra,Plot Area
Nagpur,Dabha,Residential,7200000,Unfurnished,4,3,Connected,0,0,1,1,1100.0,Maharashtra,Built-up Area
Nagpur,Shankarpur,Residential,16500000,Furnished,3,4,Connected,0,0,0,3,1500.0,Maharashtra,Built-up Area
Nagpur,Narendra Nagar,Residential,8000000,Unfurnished,3,2,Connected,1,0,1,3,1700.0,Maharashtra,Saleable Area
Nagpur,Kotewada,Residential,2873000,Unfurnished,2,2,Connected,0,0,0,0,1210.0,Maharashtra,Plot Area
Nagpur,Gumgaon,Residential,1977000,Unfurnished,2,2,Connected,0,0,0,0,1049.0,Maharashtra,Plot Area
Nagpur,Nagpur Airport,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,5000.0,Maharashtra,Plot Area
Nagpur,New Khapri,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,2000.0,Maharashtra,Plot Area
Nagpur,Mahadula,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,2790.0,Maharashtra,Plot Area
Nagpur,Gotal Pajri,Residential,4000000,Unfurnished,3,2,Room-attached,0,0,0,2,1200.0,Maharashtra,Built-up Area
Nagpur,Narendra Nagar,Residential,7000000,Unfurnished,3,2,Room-attached,1,0,1,2,1700.0,Maharashtra,Saleable Area
Nagpur,Gotal Pajri,Residential,3500000,Furnished,2,2,Connected,0,0,0,0,1100.0,Maharashtra,Built-up Area
Nagpur,Bhagwan Nagar,Residential,5000000,Semi-Furnished,2,2,"Connected,Room-attached",0,0,0,2,1135.0,Maharashtra,Built-up Area
Nagpur,Pipla,Residential,3780000,Unfurnished,2,2,Connected,0,0,0,0,1200.0,Maharashtra,Plot Area
Nagpur,Zari,Residential,14100000,Unfurnished,2,2,Connected,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,Kamptee rd,Residential,2200000,Unfurnished,2,2,Connected,0,0,0,0,1500.0,Maharashtra,Plot Area
Nagpur,Bhilgaon,Residential,6000000,Unfurnished,2,2,Connected,0,0,0,0,3000.0,Maharashtra,Plot Area
Nagpur,Zari,Residential,1385000,Unfurnished,2,2,Connected,0,0,0,0,1066.0,Maharashtra,Plot Area
Nagpur,Wanadongri,Residential,6300000,Unfurnished,3,3,Room-attached,0,0,1,1,951.0,Maharashtra,Built-up Area
Nagpur,Nagpur Airport,Residential,7700000,Semi-Furnished,3,3,"Individual,Room-attached",0,0,0,2,1442.0,Maharashtra,Built-up Area
Nagpur,Jamtha,Residential,2437000,Unfurnished,2,2,Connected,0,0,0,0,1500.0,Maharashtra,Plot Area
Nagpur,Jamtha,Residential,12200000,Unfurnished,2,2,Connected,0,0,0,0,5000.0,Maharashtra,Plot Area
Nagpur,Umred rd,Residential,1867000,Unfurnished,2,2,Connected,0,0,0,0,1167.0,Maharashtra,Plot Area
Nagpur,Kamptee rd,Residential,1438000,Unfurnished,2,2,Connected,0,0,0,0,975.0,Maharashtra,Plot Area
Nagpur,Besa Pipla rd,Residential,3200000,Unfurnished,2,2,Connected,0,0,0,0,1200.0,Maharashtra,Plot Area
Nagpur,Katol rd,Residential,2050000,Unfurnished,2,2,Connected,0,0,1,0,1250.0,Maharashtra,Plot Area
Nagpur,Kotewada,Residential,2300000,Unfurnished,2,2,Connected,1,1,1,0,1200.0,Maharashtra,Plot Area
Nagpur,Abhyankar Nagar,Residential,19000000,Unfurnished,2,2,Connected,0,0,0,0,1350.0,Maharashtra,Plot Area
Nagpur,Manewada,Residential,1250000,Unfurnished,2,2,Connected,0,0,0,0,5000.0,Maharashtra,Plot Area
Nagpur,Besa,Residential,6000000,Unfurnished,2,2,Individual,0,0,0,2,1100.0,Maharashtra,Built-up Area
Nagpur,Jai Prakash Nagar,Residential,9700000,Semi-Furnished,2,2,Individual,0,0,0,2,1050.0,Maharashtra,Built-up Area
Nagpur,Manewada,Residential,7300000,Unfurnished,3,3,Individual,0,0,0,1,1250.0,Maharashtra,Carpet Area
Nagpur,Shankarpur,Residential,3355000,Unfurnished,2,2,Connected,0,0,1,0,1100.0,Maharashtra,Plot Area
Nagpur,Mondha,Residential,2100000,Unfurnished,2,2,Connected,0,0,1,0,1500.0,Maharashtra,Plot Area
Nagpur,Kotewada,Residential,4000000,Unfurnished,2,2,Connected,0,0,0,0,1500.0,Maharashtra,Plot Area
Nagpur,Kotewada,Residential,2800000,Unfurnished,2,2,Connected,0,0,1,0,1200.0,Maharashtra,Plot Area
Nagpur,Pipla,Residential,3000000,Unfurnished,2,2,Connected,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,Hanuman Nagar,Residential,11000000,Unfurnished,3,3,Connected,0,0,0,1,1550.0,Maharashtra,Built-up Area
Nagpur,Jamtha,Residential,2000000,Unfurnished,2,2,Connected,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,New Mankapur,Residential,9000000,Unfurnished,2,2,Connected,0,0,0,0,1500.0,Maharashtra,Plot Area
Nagpur,Hudkeshwar rd,Residential,6300000,Unfurnished,2,2,Connected,0,0,0,0,2098.0,Maharashtra,Plot Area
Nagpur,Shankarpur,Residential,3300000,Unfurnished,2,2,Connected,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,Beltarodi,Residential,5400000,Unfurnished,2,2,Room-attached,0,1,1,3,1200.0,Maharashtra,Built-up Area
Nagpur,Mihan,Residential,5940000,Furnished,2,2,Connected,0,0,0,0,1398.0,Maharashtra,Built-up Area
Nagpur,Samarth Nagar East,Residential,3200000,Unfurnished,2,2,Connected,0,0,0,0,1200.0,Maharashtra,Plot Area
Nagpur,Pipla rd,Residential,3700000,Unfurnished,2,2,Connected,0,0,0,1,1170.0,Maharashtra,Built-up Area
Nagpur,Isasani,Residential,1850000,Unfurnished,2,2,Connected,0,0,0,0,1500.0,Maharashtra,Plot Area
Nagpur,Katol rd,Residential,14100000,Semi-Furnished,4,3,Individual,0,0,0,3,3300.0,Maharashtra,Built-up Area
Nagpur,Koradi rd,Residential,3000000,Semi-Furnished,2,1,Room-attached,0,0,0,2,1000.0,Maharashtra,Built-up Area
Nagpur,Besa Pipla rd,Residential,3560000,Unfurnished,2,2,Connected,0,0,1,0,1130.0,Maharashtra,Plot Area
Nagpur,Kotewada,Residential,7960000,Unfurnished,2,2,Connected,0,0,1,0,3300.0,Maharashtra,Plot Area
Nagpur,Umred rd,Residential,1600000,Unfurnished,2,2,Connected,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,Katol rd,Residential,15000000,Furnished,6,4,Room-attached,0,0,0,3,1800.0,Maharashtra,Built-up Area
Nagpur,Sondapar,Residential,3000000,Unfurnished,2,2,Connected,0,0,0,0,1100.0,Maharashtra,Plot Area
Nagpur,Godhani Road,Residential,3000000,Unfurnished,2,2,Connected,0,0,0,0,1500.0,Maharashtra,Plot Area
Nagpur,Shankarpur,Residential,3800000,Semi-Furnished,2,2,Connected,0,0,0,1,825.0,Maharashtra,Built-up Area
Nagpur,Borkhedi,Residential,1850000,Unfurnished,2,2,Connected,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,Chikna,Residential,1650000,Unfurnished,2,2,Connected,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,Wardha rd,Residential,1100000,Unfurnished,2,2,Connected,1,1,1,0,1000.0,Maharashtra,Plot Area
Nagpur,Umred rd,Residential,1800000,Unfurnished,2,2,Connected,0,0,1,0,1130.0,Maharashtra,Plot Area
Nagpur,Umred rd,Residential,1350000,Unfurnished,2,2,Connected,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,Wardha rd,Residential,2050000,Unfurnished,2,2,Connected,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,Godhni,Residential,4200000,Unfurnished,2,2,Connected,0,0,0,0,1200.0,Maharashtra,Plot Area
Nagpur,Shivmadka,Residential,2827000,Unfurnished,2,2,Connected,1,1,1,0,1500.0,Maharashtra,Plot Area
Nagpur,Shankarpur,Residential,5000000,Unfurnished,2,2,Connected,1,1,1,0,1500.0,Maharashtra,Plot Area
Nagpur,Kotewada,Residential,2600000,Unfurnished,2,2,Connected,1,1,1,0,1130.0,Maharashtra,Plot Area
Nagpur,Pipla,Residential,5250000,Unfurnished,2,2,Connected,1,0,0,0,1500.0,Maharashtra,Plot Area
Nagpur,Pipla rd,Residential,4950000,Unfurnished,2,2,Connected,0,0,1,0,1500.0,Maharashtra,Plot Area
Nagpur,Buti Bori,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,1000.0,Maharashtra,Plot Area
Nagpur,Chatrapati Nagar,Residential,17500000,Semi-Furnished,4,4,Connected,0,0,0,2,2340.0,Maharashtra,Built-up Area
Nagpur,Jaripatka,Residential,5200000,Semi-Furnished,3,3,Individual,0,0,0,3,1500.0,Maharashtra,Built-up Area
Nagpur,Gumgaon,Residential,3600000,Unfurnished,2,2,Connected,0,0,0,0,2000.0,Maharashtra,Plot Area
Nagpur,Somalwada,Residential,18000000,Unfurnished,2,2,Connected,0,0,0,0,1800.0,Maharashtra,Plot Area
Nagpur,Sumthana,Residential,4100000,Unfurnished,2,2,Connected,1,0,0,0,9900.0,Maharashtra,Plot Area
Nagpur,Chicholi,Residential,2801000,Unfurnished,2,2,Connected,0,0,1,0,1751.0,Maharashtra,Plot Area
Nagpur,Wardha rd,Residential,4000000,Semi-Furnished,2,2,Connected,0,0,0,3,1025.0,Maharashtra,Built-up Area
Nagpur,Zari,Residential,14100000,Unfurnished,2,2,Connected,0,0,0,0,1300.0,Maharashtra,Plot Area
Nagpur,Trimurtee Nagar,Residential,6000000,Semi-Furnished,2,2,"Connected,Individual,Room-attached",0,0,0,3,965.0,Maharashtra,Built-up Area
Nagpur,Swavalambi Nagar,Residential,6200000,Semi-Furnished,2,2,"Connected,Individual,Room-attached",0,0,0,2,925.0,Maharashtra,Built-up Area
Nagpur,Pratap Nagar,Residential,6000000,Semi-Furnished,2,2,"Connected,Individual,Room-attached",0,0,0,2,1000.0,Maharashtra,Built-up Area
