City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Nashik,Dindori,Commercial,0,Unfurnished,0,0,No Balcony,1,0,1,0,2430.0,Maharashtra,Plot Area
Nashik,Khambale,Residential,7500000,Furnished,2,2,Room-attached,0,0,0,1,1428.0,Maharashtra,Built-up Area
Nashik,Patharadi Road,Residential,2150000,Unfurnished,2,2,Connected,0,0,0,0,774.0,Maharashtra,Plot Area
Nashik,Panchavati,Residential,3280000,Unfurnished,2,2,Connected,0,0,0,0,720.0,Maharashtra,Plot Area
Nashik,Pathardi,Residential,1628000,Unfurnished,2,2,Connected,0,0,0,0,740.0,Maharashtra,Plot Area
Nashik,Pathardi Phata,Residential,1600000,Unfurnished,2,2,Connected,0,0,0,0,680.0,Maharashtra,Plot Area
Nashik,Ojhar,Residential,4625000,Unfurnished,2,2,Connected,0,0,0,0,510.0,Maharashtra,Plot Area
Nashik,Igatpuri,Residential,7500000,Unfurnished,2,2,Connected,1,1,1,2,1228.0,Maharashtra,Carpet Area
Nashik,Indira Nagar,Residential,2700000,Unfurnished,1,1,Room-attached,0,0,0,1,740.0,Maharashtra,Built-up Area
Nashik,Igatpuri,Residential,6500000,Unfurnished,2,2,Connected,0,0,0,0,26000.0,Maharashtra,Plot Area
Nashik,Ojhar,Commercial,0,Semi-Furnished,0,0,No Balcony,0,0,0,0,20000.0,Maharashtra,Built-up Area
Nashik,Nashik Road,Residential,1200000,Unfurnished,2,2,Connected,0,0,0,0,500.0,Maharashtra,Plot Area
Nashik,Trimbak Road,Residential,5000000,Unfurnished,2,2,Connected,0,0,0,0,10000.0,Maharashtra,Plot Area
Nashik,Devlali,Residential,3400000,Unfurnished,2,2,Room-attached,0,0,0,1,900.0,Maharashtra,Built-up Area
Nashik,Gangapur Road,Residential,4400000,Unfurnished,2,2,Connected,0,0,0,0,1476.0,Maharashtra,Plot Area
Nashik,Pathardi Phata,Residential,6200000,Furnished,2,2,Connected,0,0,0,0,1555.0,Maharashtra,Built-up Area
Nashik,Nashik Road,Residential,3200000,Semi-Furnished,1,1,Connected,0,0,0,1,820.0,Maharashtra,Built-up Area
Nashik,Wadner Road,Residential,5000000,Unfurnished,2,2,"Connected,Room-attached",0,0,0,2,1950.0,Maharashtra,Built-up Area
Nashik,Pathardi,Residential,1651000,Unfurnished,2,2,Connected,0,0,0,0,675.0,Maharashtra,Plot Area
Nashik,Jail Road,Residential,3399000,Unfurnished,2,2,Room-attached,0,0,0,1,9000.0,Maharashtra,Built-up Area
Nashik,Trimbak Road,Residential,2995000,Unfurnished,2,2,Connected,0,0,0,0,1089.0,Maharashtra,Plot Area
Nashik,Devlali,Residential,4700000,Unfurnished,2,2,Room-attached,1,0,0,2,1200.0,Maharashtra,Built-up Area
Nashik,Sinnar,Residential,5000000,Unfurnished,2,2,Individual,0,0,0,1,1053.0,Maharashtra,Carpet Area
Nashik,Deolali,Residential,7780000,Unfurnished,2,2,Connected,0,0,0,3,1414.0,Maharashtra,Built-up Area
Nashik,Ojhar,Residential,2207000,Unfurnished,2,2,Connected,0,0,0,0,2207.0,Maharashtra,Plot Area
Nashik,Nashik Road,Residential,13500000,Unfurnished,4,4,Room-attached,0,0,1,4,3200.0,Maharashtra,Built-up Area
Nashik,Trimbak,Residential,2677000,Unfurnished,2,2,Connected,0,0,0,0,2835.0,Maharashtra,Plot Area
Nashik,Gangapur,Residential,1551000,Unfurnished,2,2,Connected,0,0,1,0,558.0,Maharashtra,Plot Area
Nashik,Wadner Road,Residential,4700000,Unfurnished,2,2,Room-attached,0,0,0,1,1200.0,Maharashtra,Built-up Area
Nashik,Nashik Road,Residential,2100000,Unfurnished,2,2,Connected,0,0,0,0,639.0,Maharashtra,Plot Area
Nashik,Pathardi,Residential,2330000,Unfurnished,2,2,Connected,0,0,0,0,639.0,Maharashtra,Plot Area
Nashik,Indira Nagar,Residential,2152000,Unfurnished,2,2,Connected,0,0,0,0,639.0,Maharashtra,Plot Area
Nashik,Dasak,Residential,5300000,Unfurnished,2,2,Individual,0,0,0,2,1044.0,Maharashtra,Built-up Area
Nashik,Ojhar,Residential,3000000,Unfurnished,2,2,Connected,0,0,0,0,3000.0,Maharashtra,Plot Area
Nashik,Igatpuri,Residential,2800000,Unfurnished,1,1,Connected,0,0,0,0,420.0,Maharashtra,Carpet Area
Nashik,Deolali,Residential,7900000,Unfurnished,3,3,Connected,0,0,0,3,1670.0,Maharashtra,Built-up Area
Nashik,Cidco,Residential,4700000,Unfurnished,4,3,Individual,0,0,0,2,1300.0,Maharashtra,Built-up Area
Nashik,Nashik Road,Residential,5106000,Furnished,2,3,"Individual,Room-attached",0,0,0,3,1184.0,Maharashtra,Saleable Area
Nashik,Ojhar,Residential,4628000,Unfurnished,2,2,Connected,0,0,0,0,4628.0,Maharashtra,Plot Area
Nashik,NashiK-Pune Road,Residential,4900000,Unfurnished,2,2,Room-attached,0,0,0,2,945.0,Maharashtra,Built-up Area
Nashik,Pathardi Phata,Residential,4100000,Unfurnished,2,2,Room-attached,0,0,0,2,1000.0,Maharashtra,Built-up Area
Nashik,Trimbak Road,Residential,3307000,Unfurnished,2,2,Connected,0,0,0,0,3500.0,Maharashtra,Plot Area
