City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Greater Noida,Gn Sector Eta ii,Residential,6000000,Unfurnished,2,2,"Connected,Individual,Room-attached",0,0,0,1,860.0,Uttar Pradesh,Built-up Area
Greater Noida,Gn Sector Eta I,Residential,37300000,Unfurnished,2,2,Connected,0,0,1,0,3229.17,Uttar Pradesh,Plot Area
Greater Noida,Sigma I,Residential,38000000,Unfurnished,2,2,Connected,0,0,0,0,3229.17,Uttar Pradesh,Plot Area
Greater Noida,Gaur City 2,Residential,9400000,Semi-Furnished,3,2,Room-attached,0,0,0,1,1345.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 1,Residential,17500000,Furnished,2,3,Individual,0,0,0,2,1698.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 1,Residential,8500000,Semi-Furnished,2,2,Individual,0,0,0,1,1027.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Tech Zone 4,Residential,9500000,Semi-Furnished,2,2,Connected,0,0,0,2,1220.0,Uttar Pradesh,Built-up Area
Greater Noida,Noida Ext Sector 10,Residential,20600000,Unfurnished,4,3,"Connected,Individual,Room-attached",1,1,1,2,2566.0,Uttar Pradesh,Saleable Area
Greater Noida,Pi I And ii,Residential,50000000,Unfurnished,2,2,Connected,0,0,0,0,5381.95,Uttar Pradesh,Plot Area
Greater Noida,Gn Sector 27,Residential,10500000,Furnished,1,1,Individual,0,0,0,1,910.0,Uttar Pradesh,Carpet Area
Greater Noida,Noida Ext Sector 16c,Residential,9000000,Semi-Furnished,2,2,Room-attached,0,0,0,1,1293.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 16c,Residential,11500000,Semi-Furnished,3,3,Connected,0,0,0,3,1600.0,Uttar Pradesh,Built-up Area
Greater Noida,Gn Sector Eta ii,Residential,7500000,Unfurnished,3,2,Room-attached,1,1,1,1,1225.0,Uttar Pradesh,Saleable Area
Greater Noida,Gn Sector Omega ii,Residential,16000000,Furnished,3,3,"Individual,Room-attached",0,0,0,3,1740.0,Uttar Pradesh,Built-up Area
