City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Pune,Hinjewadi,Residential,7520000,Unfurnished,2,2,Individual,1,1,1,2,764.0,Maharashtra,Carpet Area
Pune,Hinjewadi,Residential,4500000,Unfurnished,1,2,Individual,1,0,1,2,550.0,Maharashtra,Carpet Area
Pune,Hinjewadi,Residential,8240000,Unfurnished,2,2,Individual,1,1,1,2,836.0,Maharashtra,Carpet Area
Pune,Kharadi,Residential,9500000,Semi-Furnished,2,2,Room-attached,0,0,0,2,850.0,Maharashtra,Carpet Area
Pune,Koregaon Park,Residential,39000000,Unfurnished,3,3,Individual,1,1,1,1,1565.0,Maharashtra,Carpet Area
Pune,Kharadi,Residential,8375000,Semi-Furnished,3,3,Connected,0,0,0,1,1452.0,Maharashtra,Carpet Area
Pune,Kharadi,Residential,13000000,Semi-Furnished,3,3,Room-attached,0,0,0,1,1230.0,Maharashtra,Carpet Area
Pune,Pimple Saudagar,Residential,10000000,Furnished,2,2,Room-attached,1,1,1,1,765.0,Maharashtra,Carpet Area
Pune,Hadapsar,Residential,12100000,Unfurnished,2,2,Individual,1,1,1,1,834.0,Maharashtra,Carpet Area
Pune,Hinjewadi,Residential,9500000,Semi-Furnished,2,2,Individual,0,0,0,1,1112.0,Maharashtra,Saleable Area
Pune,Kondhwa,Residential,12400000,Furnished,3,3,Connected,0,0,0,1,1497.0,Maharashtra,Saleable Area
Pune,Handewadi,Residential,5500000,Semi-Furnished,2,2,"Individual,Room-attached",0,0,0,1,832.0,Maharashtra,Built-up Area
Pune,Wagholi,Residential,7200000,Unfurnished,2,2,Room-attached,0,0,1,1,950.0,Maharashtra,Built-up Area
Pune,Punawale,Residential,6500000,Semi-Furnished,2,2,Connected,0,0,0,1,675.0,Maharashtra,Carpet Area
Pune,Koregaon Park,Residential,20600000,Unfurnished,2,3,Individual,1,1,1,1,1372.0,Maharashtra,Carpet Area
Pune,Mohammadwadi,Residential,31300000,Semi-Furnished,4,5,Individual,0,0,0,3,2820.0,Maharashtra,Carpet Area
Pune,Ravet,Residential,12000000,Semi-Furnished,3,3,"Individual,Room-attached",0,0,0,1,1359.0,Maharashtra,Saleable Area
Pune,Magarpatta,Residential,25200000,Unfurnished,3,3,Individual,1,1,1,1,1464.0,Maharashtra,Carpet Area
Pune,Charholi Budruk,Residential,4500000,Unfurnished,2,2,Connected,0,0,0,1,712.0,Maharashtra,Carpet Area
Pune,Baner,Residential,20000000,Unfurnished,4,4,Individual,1,1,1,2,1584.0,Maharashtra,Carpet Area
Pune,Balewadi,Residential,10200000,Furnished,2,2,Individual,0,0,0,1,928.0,Maharashtra,Built-up Area
Pune,Kiwale,Residential,7200000,Unfurnished,2,2,Individual,1,1,1,2,744.0,Maharashtra,Carpet Area
Pune,Magarpatta Road,Residential,25000000,Unfurnished,3,3,Individual,1,1,1,1,1883.0,Maharashtra,Saleable Area
Pune,Hadapsar,Residential,13600000,Unfurnished,2,2,Individual,0,0,1,1,1048.0,Maharashtra,Carpet Area
Pune,Ambegaon Budruk,Residential,11300000,Semi-Furnished,3,3,Room-attached,0,0,0,1,1475.0,Maharashtra,Built-up Area
Pune,Dhanori,Residential,10000000,Semi-Furnished,2,3,Connected,0,0,0,1,1021.0,Maharashtra,Carpet Area
Pune,Kalyani Nagar,Residential,22000000,Furnished,3,3,Connected,0,0,0,3,1490.0,Maharashtra,Built-up Area
Pune,Ranjangaon,Residential,1490000,Semi-Furnished,1,2,Connected,0,0,0,3,470.0,Maharashtra,Built-up Area
Pune,Hadapsar,Residential,6300000,Unfurnished,2,2,Individual,0,0,1,1,782.0,Maharashtra,Carpet Area
Pune,Wagholi,Residential,8349000,Unfurnished,2,3,Individual,1,0,1,1,1028.0,Maharashtra,Carpet Area
Pune,Hadapsar,Residential,8500000,Unfurnished,2,2,Individual,0,0,0,1,707.0,Maharashtra,Carpet Area
Pune,Magarpatta Road,Residential,25300000,Unfurnished,3,3,Individual,1,1,1,1,1883.0,Maharashtra,Saleable Area
Pune,Hadapsar,Residential,18200000,Unfurnished,3,3,Individual,1,1,1,1,1160.0,Maharashtra,Carpet Area
Pune,Baner,Residential,12000000,Unfurnished,2,2,Connected,0,1,1,1,666.0,Maharashtra,Carpet Area
Pune,Hadapsar,Residential,6350000,Unfurnished,2,2,Individual,0,0,0,1,782.0,Maharashtra,Carpet Area
Pune,Kharadi,Residential,10500000,Unfurnished,2,2,Individual,1,1,1,1,867.0,Maharashtra,Carpet Area
Pune,Manjri Budruk,Residential,7500000,Unfurnished,2,2,Individual,1,1,1,1,757.0,Maharashtra,Carpet Area
Pune,Magarpatta,Residential,15200000,Unfurnished,3,3,Individual,1,1,1,1,1222.0,Maharashtra,Carpet Area
Pune,Warje,Residential,10000000,Unfurnished,2,2,"Connected,Room-attached",1,0,1,1,825.0,Maharashtra,Carpet Area
Pune,Lohegaon,Residential,6500000,Unfurnished,2,2,Connected,1,1,1,1,651.0,Maharashtra,Carpet Area
Pune,Magarpatta,Residential,30300000,Unfurnished,4,4,Individual,0,0,0,1,1874.0,Maharashtra,Carpet Area
