City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Surat,Dabholi,Residential,6000000,Semi-Furnished,4,2,Room-attached,0,0,0,2,860.0,Gujarat,Plot Area
Surat,Ghod Dhod Road,Residential,4500000,Semi-Furnished,2,3,Connected,0,0,0,0,850.0,Gujarat,Built-up Area
Surat,Vesu,Residential,41600000,Furnished,4,4,Connected,0,0,0,9,4527.0,Gujarat,Built-up Area
Surat,Piplod,Residential,12000000,Furnished,4,4,Connected,0,0,0,3,5000.0,Gujarat,Built-up Area
Surat,Pal,Residential,5700000,Semi-Furnished,2,2,Connected,0,0,0,2,1250.0,Gujarat,Built-up Area
Surat,Piplod,Residential,19900000,Furnished,4,4,"Connected,Individual,Room-attached",0,0,0,3,4000.0,Gujarat,Built-up Area
Surat,Jahangirabad,Commercial,0,Unfurnished,0,0,No Balcony,0,0,1,9,210.0,Gujarat,Carpet Area
Surat,Pal Gam,Residential,7500000,Furnished,3,3,Room-attached,0,0,0,4,1850.0,Gujarat,Built-up Area
Surat,Rustampura,Residential,1850000,Unfurnished,1,1,"Connected,Room-attached",0,0,0,2,760.0,Gujarat,Built-up Area
Surat,Adajan,Residential,6000000,Furnished,2,3,Room-attached,0,0,0,1,1250.0,Gujarat,Built-up Area
Surat,Gabheni,Residential,5800000,Furnished,2,2,Individual,0,0,0,3,1255.0,Gujarat,Built-up Area
Surat,Rander Road,Residential,3651000,Furnished,2,2,Individual,0,0,0,1,1370.0,Gujarat,Built-up Area
Surat,Bamroligam,Residential,8000000,Furnished,3,2,Individual,0,0,0,2,1737.0,Gujarat,Built-up Area
Surat,Palanpur Gam,Residential,5500000,Furnished,2,2,Individual,0,0,0,3,1340.0,Gujarat,Built-up Area
Surat,Abhva,Residential,10000000,Furnished,3,3,Connected,0,0,0,2,1870.0,Gujarat,Built-up Area
Surat,Chowk Bazar,Residential,4400000,Semi-Furnished,2,2,Individual,0,0,0,2,1350.0,Gujarat,Built-up Area
Surat,Pal Gam,Residential,4200000,Furnished,2,2,Individual,0,0,0,2,1078.0,Gujarat,Built-up Area
Surat,Gabheni,Residential,7600000,Unfurnished,3,3,"Connected,Room-attached",0,0,0,1,1987.0,Gujarat,Saleable Area
Surat,Palanpur,Residential,5300000,Semi-Furnished,2,2,Individual,0,0,0,2,1190.0,Gujarat,Built-up Area
Surat,Kamrej,Residential,12000000,Unfurnished,6,3,Individual,0,0,0,0,5000.0,Gujarat,Built-up Area
Surat,Adajan,Residential,6900000,Furnished,3,2,Individual,0,0,0,2,1585.0,Gujarat,Built-up Area
Surat,Adajan,Residential,2800000,Semi-Furnished,1,1,Individual,0,0,0,3,373.0,Gujarat,Built-up Area
Surat,Althan,Residential,4100000,Furnished,2,2,Room-attached,0,0,0,2,1175.0,Gujarat,Built-up Area
Surat,Vip Road,Residential,29000000,Furnished,6,5,"Connected,Individual,Room-attached",0,0,0,3,5200.0,Gujarat,Built-up Area
Surat,Dahin Nagar,Residential,4330000,Unfurnished,2,2,Room-attached,0,0,1,1,1332.0,Gujarat,Built-up Area
Surat,Palanpur,Residential,7700000,Unfurnished,3,3,Room-attached,0,0,0,1,1811.0,Gujarat,Built-up Area
Surat,Surat Dumas Road,Residential,5400000,Unfurnished,2,2,Room-attached,0,0,0,2,1264.0,Gujarat,Built-up Area
Surat,Adajan,Residential,2800000,Semi-Furnished,1,2,Individual,0,0,0,3,374.0,Gujarat,Built-up Area
Surat,Katargam,Commercial,0,Semi-Furnished,0,0,No Balcony,0,0,0,0,256.0,Gujarat,Built-up Area
Surat,Dahin Nagar,Residential,4250000,Unfurnished,3,3,"Connected,Individual,Room-attached",0,0,1,1,1525.0,Gujarat,Built-up Area
Surat,Palanpur,Residential,5227000,Unfurnished,2,2,Room-attached,1,0,1,1,1275.0,Gujarat,Built-up Area
Surat,Umra,Residential,1350000,Unfurnished,3,3,Individual,0,0,0,0,639.0,Gujarat,Plot Area
Surat,Palanpur,Residential,5500000,Semi-Furnished,2,3,Individual,0,0,0,0,1340.0,Gujarat,Built-up Area
Surat,Adajan,Residential,9200000,Furnished,3,4,"Connected,Individual",0,0,0,3,2340.0,Gujarat,Built-up Area
Surat,Palanpur,Residential,4550000,Unfurnished,2,2,"Connected,Individual",0,0,0,2,1219.0,Gujarat,Built-up Area
