City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Vijayawada,Sri Ramachandra Nagar,Residential,10900000,Unfurnished,3,3,Room-attached,1,1,1,2,1900.0,Andhra Pradesh,Built-up Area
Vijayawada,Kanuru,Residential,11500000,Furnished,3,3,Individual,0,0,1,2,1900.0,Andhra Pradesh,Built-up Area
Vijayawada,Gannavaram,Residential,2550000,Unfurnished,2,2,Connected,0,0,0,0,1350.0,Andhra Pradesh,Plot Area
Vijayawada,Gannavaram,Residential,2400000,Unfurnished,2,2,Connected,0,0,0,0,1350.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,8000000,Unfurnished,2,2,Connected,0,0,0,0,5517.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,9056000,Unfurnished,2,2,Connected,0,0,0,0,5400.0,Andhra Pradesh,Plot Area
Vijayawada,Poranki,Residential,15000000,Semi-Furnished,3,3,Room-attached,0,0,0,2,2500.0,Andhra Pradesh,Built-up Area
Vijayawada,Kankipadu,Residential,8609000,Unfurnished,2,2,Connected,0,0,0,0,4500.0,Andhra Pradesh,Plot Area
Vijayawada,Mangalagiri,Residential,7000000,Unfurnished,2,2,Connected,0,0,0,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Komaravolu,Residential,5400000,Unfurnished,2,2,Connected,0,0,0,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Mylavaram,Residential,990000,Unfurnished,2,2,Connected,0,0,0,0,900.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,6000000,Unfurnished,2,2,Connected,0,0,1,1,1665.0,Andhra Pradesh,Built-up Area
Vijayawada,Mangalagiri,Residential,6000000,Unfurnished,2,2,Connected,0,0,1,0,1656.0,Andhra Pradesh,Plot Area
Vijayawada,Bandar Road,Residential,3300000,Unfurnished,2,2,Connected,0,0,0,0,1980.0,Andhra Pradesh,Plot Area
Vijayawada,Vijayawada One Town,Residential,2650000,Unfurnished,2,2,Connected,0,0,0,0,1080.0,Andhra Pradesh,Plot Area
Vijayawada,Ibrahimpatnam,Residential,645000,Unfurnished,2,2,Connected,0,0,0,0,900.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,9004000,Unfurnished,2,2,Connected,0,0,1,0,5400.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,8600000,Unfurnished,2,2,Connected,0,0,1,0,4500.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,4908000,Unfurnished,2,2,Connected,0,0,0,0,3150.0,Andhra Pradesh,Plot Area
Vijayawada,Mangalagiri,Residential,7006000,Unfurnished,2,2,Connected,0,0,0,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Nandigama,Residential,3300000,Unfurnished,2,2,Connected,0,0,0,0,1341.0,Andhra Pradesh,Plot Area
Vijayawada,Payakkapuram,Residential,6500000,Unfurnished,2,2,Connected,0,0,0,0,2250.0,Andhra Pradesh,Plot Area
Vijayawada,Ramavarappadu,Residential,5200000,Unfurnished,2,2,Connected,1,0,0,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Chittinagar,Residential,1660000,Unfurnished,2,2,Connected,0,0,0,0,1494.0,Andhra Pradesh,Plot Area
Vijayawada,Ramavarappadu,Residential,5200000,Unfurnished,2,2,Connected,0,0,0,0,2007.0,Andhra Pradesh,Plot Area
Vijayawada,Mangalagiri,Residential,7008000,Unfurnished,2,2,Connected,0,0,0,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Vijayawada One Town,Residential,4200000,Unfurnished,2,2,Connected,0,0,0,0,2700.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,39000000,Unfurnished,2,2,Connected,0,0,1,0,16920.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,6006000,Unfurnished,2,2,Connected,0,0,1,1,1656.0,Andhra Pradesh,Built-up Area
Vijayawada,Vijayawada One Town,Residential,3528000,Unfurnished,2,2,Connected,0,0,0,0,2268.0,Andhra Pradesh,Plot Area
Vijayawada,Yenamalakuduru Lanka,Residential,3500000,Furnished,2,2,Individual,0,0,0,2,1100.0,Andhra Pradesh,Built-up Area
Vijayawada,Kankipadu,Residential,8609000,Unfurnished,2,2,Connected,0,0,1,0,4500.0,Andhra Pradesh,Plot Area
Vijayawada,Vaddeswaram,Residential,3425000,Unfurnished,2,2,Connected,0,0,0,0,2205.0,Andhra Pradesh,Plot Area
Vijayawada,Ramavarappadu,Residential,4394000,Unfurnished,2,2,Connected,0,0,0,0,1521.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,5509000,Unfurnished,2,2,Connected,0,0,1,1,1494.0,Andhra Pradesh,Built-up Area
Vijayawada,Bandar Road,Residential,2928000,Unfurnished,2,2,Connected,0,0,0,0,1647.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,8000000,Unfurnished,2,2,Connected,0,0,0,0,4500.0,Andhra Pradesh,Plot Area
Vijayawada,Nandigama,Residential,3256000,Unfurnished,2,2,Connected,0,0,0,0,1332.0,Andhra Pradesh,Plot Area
Vijayawada,Payakkapuram,Residential,3978000,Unfurnished,2,2,Connected,0,0,0,0,1377.0,Andhra Pradesh,Plot Area
Vijayawada,Gannavaram,Residential,9411599,Unfurnished,2,2,Connected,0,0,0,0,1197.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,4907000,Unfurnished,2,2,Connected,0,0,1,0,3150.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,6098000,Unfurnished,2,2,Connected,0,0,1,1,1656.0,Andhra Pradesh,Built-up Area
Vijayawada,Chittinagar,Residential,1670000,Unfurnished,2,2,Connected,0,0,0,0,1503.0,Andhra Pradesh,Plot Area
Vijayawada,Vambay Colony,Residential,5656000,Unfurnished,2,2,Connected,0,0,0,0,3996.0,Andhra Pradesh,Plot Area
Vijayawada,Mangalagiri,Residential,6106000,Unfurnished,2,2,Connected,0,0,1,0,1656.0,Andhra Pradesh,Plot Area
Vijayawada,Mangalagiri,Residential,7098000,Unfurnished,2,2,Connected,0,0,0,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,4906000,Unfurnished,2,2,Connected,0,0,1,0,3150.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,39000000,Unfurnished,2,2,Connected,0,0,0,0,1880.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,7875000,Unfurnished,2,2,Connected,0,0,0,0,2025.0,Andhra Pradesh,Plot Area
Vijayawada,Vijayawada One Town,Residential,3500000,Unfurnished,2,2,Connected,0,0,0,0,2241.0,Andhra Pradesh,Plot Area
Vijayawada,Vaddeswaram,Residential,2128000,Unfurnished,2,2,Connected,0,0,0,0,1368.0,Andhra Pradesh,Plot Area
Vijayawada,Ganguru,Residential,4422000,Unfurnished,2,2,Connected,0,1,1,0,1872.0,Andhra Pradesh,Plot Area
Vijayawada,Ganguru,Residential,4422000,Unfurnished,2,2,Connected,0,1,1,0,2250.0,Andhra Pradesh,Plot Area
Vijayawada,Mangalagiri,Residential,7007000,Unfurnished,2,2,Connected,0,0,0,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,2600000,Unfurnished,2,2,Connected,0,0,0,0,1494.0,Andhra Pradesh,Plot Area
Vijayawada,Tadigadapa,Residential,7550000,Semi-Furnished,3,3,Room-attached,0,0,0,1,1510.0,Andhra Pradesh,Built-up Area
Vijayawada,Vijayawada One Town,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,720.0,Andhra Pradesh,Plot Area
Vijayawada,Madhura Nagar,Residential,3800000,Unfurnished,2,2,Individual,0,0,0,1,1060.0,Andhra Pradesh,Built-up Area
Vijayawada,Kunchanapalli,Residential,8300000,Semi-Furnished,3,2,Individual,0,0,0,1,1640.0,Andhra Pradesh,Built-up Area
Vijayawada,Vidhyadharpuram,Residential,9900000,Semi-Furnished,3,1,Connected,0,0,0,0,1600.0,Andhra Pradesh,Built-up Area
Vijayawada,Bhavanipuram,Residential,9900000,Semi-Furnished,3,1,Connected,0,0,0,0,1600.0,Andhra Pradesh,Built-up Area
Vijayawada,Guntupalli,Residential,3600000,Furnished,2,2,Individual,0,0,0,1,1200.0,Andhra Pradesh,Saleable Area
Vijayawada,Mangalagiri,Residential,6100000,Unfurnished,2,2,Connected,0,0,0,0,1656.0,Andhra Pradesh,Plot Area
Vijayawada,Durgapuram,Residential,9411599,Unfurnished,2,2,Connected,0,0,0,0,2250.0,Andhra Pradesh,Plot Area
Vijayawada,Gosala,Residential,4200000,Unfurnished,2,2,Connected,1,0,0,0,2700.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,5500000,Unfurnished,2,2,Connected,0,0,1,1,252.0,Andhra Pradesh,Built-up Area
Vijayawada,Gosala,Residential,4200000,Unfurnished,2,2,Connected,0,0,0,0,2700.0,Andhra Pradesh,Plot Area
Vijayawada,Nunna,Residential,9411599,Unfurnished,2,2,Connected,0,0,0,0,1350.0,Andhra Pradesh,Plot Area
Vijayawada,Vaddeswaram,Residential,2800000,Unfurnished,2,2,Connected,0,0,0,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,3607000,Unfurnished,2,2,Connected,0,0,1,0,2250.0,Andhra Pradesh,Plot Area
Vijayawada,Nunna,Residential,2100000,Unfurnished,2,2,Connected,0,0,0,0,2700.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,3609000,Unfurnished,2,2,Connected,0,0,1,0,2250.0,Andhra Pradesh,Plot Area
Vijayawada,Gosala,Residential,2800000,Unfurnished,2,2,Connected,0,1,1,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Durgapuram,Residential,9411599,Unfurnished,2,2,Connected,0,0,0,0,2160.0,Andhra Pradesh,Plot Area
Vijayawada,Mangalagiri,Residential,6100000,Unfurnished,2,2,Connected,0,0,1,0,1656.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,3600000,Unfurnished,2,2,Connected,0,0,1,0,2250.0,Andhra Pradesh,Plot Area
Vijayawada,Durga Agraharam,Residential,9411599,Unfurnished,2,2,Connected,0,0,0,0,2250.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,8000000,Unfurnished,2,2,Connected,0,0,0,0,980.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,8604000,Unfurnished,2,2,Connected,0,0,1,0,4500.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,39000000,Unfurnished,2,2,Connected,0,0,0,0,16920.0,Andhra Pradesh,Plot Area
Vijayawada,Nunna,Residential,3600000,Unfurnished,2,2,Connected,0,0,0,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,3600000,Unfurnished,2,2,Connected,0,0,0,0,2250.0,Andhra Pradesh,Plot Area
Vijayawada,Mylavaram,Residential,800000,Unfurnished,2,2,Connected,0,0,0,0,151.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,3000000,Unfurnished,2,2,Connected,0,0,1,0,1674.0,Andhra Pradesh,Plot Area
Vijayawada,Penamaluru,Residential,2800000,Unfurnished,2,2,Connected,0,0,1,0,1809.0,Andhra Pradesh,Plot Area
Vijayawada,Mylavaram,Residential,599000,Unfurnished,2,2,Connected,0,0,0,0,900.0,Andhra Pradesh,Plot Area
Vijayawada,Mustabada,Residential,9500000,Semi-Furnished,2,2,Individual,0,0,0,3,986.0,Andhra Pradesh,Built-up Area
Vijayawada,Mylavaram,Residential,800000,Unfurnished,2,2,Connected,0,0,0,0,142.0,Andhra Pradesh,Plot Area
Vijayawada,Mustabada,Residential,9800000,Semi-Furnished,2,2,Connected,0,0,0,0,1123.0,Andhra Pradesh,Built-up Area
Vijayawada,Gudavalli,Residential,3800000,Unfurnished,2,2,Connected,0,0,1,0,1800.0,Andhra Pradesh,Plot Area
Vijayawada,Benz Circle,Residential,3400000,Unfurnished,2,2,Connected,0,0,0,0,1530.0,Andhra Pradesh,Plot Area
Vijayawada,Bandar Road,Residential,2400000,Unfurnished,2,2,Connected,0,0,0,0,1440.0,Andhra Pradesh,Plot Area
Vijayawada,Vijayawada One Town,Residential,9411599,Unfurnished,2,2,Connected,0,0,0,0,2772.0,Andhra Pradesh,Plot Area
Vijayawada,Guntur,Commercial,0,Unfurnished,0,0,Connected,0,0,0,5,3100.0,Andhra Pradesh,Built-up Area
Vijayawada,Kanchikacherla,Residential,1800000,Unfurnished,2,2,Connected,0,0,0,0,1620.0,Andhra Pradesh,Plot Area
Vijayawada,Pamarru,Residential,2400000,Unfurnished,2,2,Connected,0,0,0,0,2700.0,Andhra Pradesh,Plot Area
Vijayawada,Poranki,Residential,3950000,Unfurnished,2,2,Connected,0,0,0,0,1404.0,Andhra Pradesh,Plot Area
Vijayawada,Madhura Nagar,Residential,35000000,Unfurnished,6,2,Individual,0,0,0,6,7500.0,Andhra Pradesh,Built-up Area
Vijayawada,Durgapuram,Residential,3500000,Unfurnished,2,2,Individual,0,0,0,1,650.0,Andhra Pradesh,Built-up Area
Vijayawada,Kanuru,Residential,6000000,Semi-Furnished,2,2,Individual,0,0,0,1,1182.0,Andhra Pradesh,Built-up Area
Vijayawada,Tadepalli,Residential,6300000,Unfurnished,2,2,Connected,1,1,1,1,1255.0,Andhra Pradesh,Built-up Area
Vijayawada,Enikepadu,Residential,17000000,Unfurnished,5,5,Connected,0,0,0,1,2268.0,Andhra Pradesh,Built-up Area
Vijayawada,Tadepalli,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,2772.0,Andhra Pradesh,Plot Area
Vijayawada,Prasadampadu,Residential,2000000,Unfurnished,4,2,Connected,0,0,0,1,900.0,Andhra Pradesh,Carpet Area
Vijayawada,Gunadala,Residential,9411599,Semi-Furnished,5,5,"Connected,Room-attached",0,0,0,4,4500.0,Andhra Pradesh,Built-up Area
Vijayawada,Patamata,Residential,8500000,Unfurnished,6,3,Connected,0,0,0,0,972.0,Andhra Pradesh,Built-up Area
Vijayawada,Patamata,Residential,13000000,Furnished,6,3,Room-attached,0,0,0,1,2000.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,2158000,Unfurnished,2,2,Connected,0,0,0,0,1494.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,2400000,Unfurnished,2,2,Connected,0,0,1,0,1656.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,2500000,Unfurnished,2,2,Connected,0,0,1,0,1494.0,Andhra Pradesh,Plot Area
Vijayawada,Mangalagiri,Residential,6000000,Unfurnished,2,2,Connected,0,0,0,0,1656.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,2400000,Unfurnished,2,2,Connected,0,0,1,0,1638.0,Andhra Pradesh,Plot Area
Vijayawada,Kankipadu,Residential,5500000,Unfurnished,2,2,Connected,0,0,1,1,1494.0,Andhra Pradesh,Built-up Area
