City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,Kids Play Areas,Parking,Area (Sq.Ft.),State,Area Type
Ahmedabad,Makarba,Residential,11500000.00,Furnished,3,3,Individual,0,0,0,2,1715,Gujarat,Built-up Area
Ahmedabad,Makarba,Residential,6500000.00,Unfurnished,2,2,Connected,0,0,1,1,1050,Gujarat,Saleable Area
Ahmedabad,Ambli Road,Residential,72100000.00,Semi-Furnished,5,5,Connected,0,0,0,4,4083,Gujarat,Carpet Area
Ahmedabad,Shela,Residential,13000000.00,Unfurnished,5,5,Connected,0,0,1,4,3100,Gujarat,Built-up Area
Ahmedabad,Bodakdev,Residential,15000000.00,Furnished,5,4,Room-attached,0,0,0,1,1800,Gujarat,Built-up Area
Ahmedabad,Satellite,Residential,21600000.00,Semi-Furnished,3,3,Connected,0,0,0,2,2295,Gujarat,Built-up Area
Ahmedabad,Gota,Residential,9943000.00,Unfurnished,3,3,Connected,0,0,1,2,2050,Gujarat,Saleable Area
Ahmedabad,Bodakdev,Residential,24500000.00,Unfurnished,4,4,Connected,1,1,1,3,3492,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,20500000.00,Unfurnished,4,4,Connected,1,1,1,3,4130,Gujarat,Saleable Area
Ahmedabad,Shyamal,Commercial,0.00,Unfurnished,0,0,No Balcony,0,0,0,1,927,Gujarat,Built-up Area
Ahmedabad,Ellisbridge,Residential,23000000.00,Furnished,3,3,"Connected,Room-attached",0,0,0,3,2564,Gujarat,Saleable Area
Ahmedabad,South Bopal,Residential,7500000.00,Unfurnished,3,3,Connected,0,0,0,1,1700,Gujarat,Built-up Area
Ahmedabad,Shela,Residential,9000000.00,Furnished,3,3,Connected,0,0,0,2,786,Gujarat,Carpet Area
Ahmedabad,Kolat,Residential,25500000.00,Unfurnished,3,3,Connected,1,1,1,0,12060,Gujarat,Plot Area
Ahmedabad,Bopal,Residential,8000000.00,Semi-Furnished,3,3,Connected,0,0,0,2,790,Gujarat,Carpet Area
Ahmedabad,South Bopal,Residential,13000000.00,Unfurnished,3,4,Connected,1,1,1,2,893,Gujarat,Carpet Area
Ahmedabad,Wapa,Residential,9350000.00,Unfurnished,3,3,Connected,1,1,1,1,2200,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,7300000.00,Semi-Furnished,3,3,Connected,0,0,0,1,1436,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,13500000.00,Unfurnished,3,3,Connected,1,1,1,2,2740,Gujarat,Saleable Area
Ahmedabad,Memnagar,Commercial,0.00,Unfurnished,0,0,No Balcony,0,0,0,0,970,Gujarat,Built-up Area
Ahmedabad,Jagatpur,Residential,4500000.00,Unfurnished,2,2,Room-attached,0,0,0,2,5920.145,Gujarat,Carpet Area
Ahmedabad,Ahmedabad Cantonment,Commercial,0.00,Furnished,0,0,"Connected,Individual",0,0,0,7,1901,Gujarat,Built-up Area
Ahmedabad,Bopal,Residential,8800000.00,Furnished,3,3,Connected,0,0,0,2,1485,Gujarat,Built-up Area
Ahmedabad,Bodakdev,Commercial,0.00,Unfurnished,0,0,Connected,0,0,0,1,871,Gujarat,Built-up Area
Ahmedabad,Sindhubhavan,Commercial,0.00,Furnished,0,0,No Balcony,0,0,0,2,2524,Gujarat,Built-up Area
Ahmedabad,Vastral,Residential,3400000.00,Furnished,2,2,Connected,0,0,0,2,850,Gujarat,Built-up Area
Ahmedabad,Satellite,Residential,22500000.00,Furnished,3,3,"Connected,Room-attached",0,0,0,3,2100,Gujarat,Built-up Area
Ahmedabad,Ellisbridge,Commercial,0.00,Unfurnished,0,0,No Balcony,0,0,0,1,1950,Gujarat,Built-up Area
Ahmedabad,Naranpura,Residential,11500000.00,Unfurnished,3,3,Connected,1,0,1,1,2106,Gujarat,Carpet Area
Ahmedabad,Naroda,Residential,5000000.00,Furnished,2,2,Room-attached,0,0,0,1,1323,Gujarat,Built-up Area
Ahmedabad,Prahlad Nagar,Commercial,0.00,Furnished,0,0,No Balcony,0,0,0,8,1039,Gujarat,Built-up Area
Ahmedabad,Naranpura,Residential,8894000.00,Unfurnished,3,3,Connected,0,0,0,1,1815,Gujarat,Built-up Area
Ahmedabad,Shela,Commercial,0.00,Unfurnished,0,0,No Balcony,0,0,0,0,377,Gujarat,Built-up Area
Ahmedabad,Ahmedabad Cantonment,Commercial,0.00,Unfurnished,0,0,No Balcony,0,0,0,7,364,Gujarat,Built-up Area
Ahmedabad,Makarba,Commercial,0.00,Furnished,0,0,No Balcony,0,0,0,1,417,Gujarat,Built-up Area
Ahmedabad,Hathijan,Residential,3500000.00,Furnished,3,2,"Connected,Individual,Room-attached",0,0,0,0,1700,Gujarat,Built-up Area
Ahmedabad,Shilaj,Residential,27500000.00,Semi-Furnished,4,3,Individual,0,0,0,4,2098,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,867000.00,Unfurnished,3,3,Connected,0,0,1,0,1578,Gujarat,Plot Area
Ahmedabad,Shilaj,Residential,27500000.00,Semi-Furnished,4,2,Individual,0,0,0,4,2267,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,957000.00,Unfurnished,3,3,Connected,0,0,1,0,1741,Gujarat,Plot Area
Ahmedabad,Ahmedabad Cantonment,Residential,5200000.00,Unfurnished,2,2,Room-attached,0,0,1,2,1183,Gujarat,Built-up Area
Ahmedabad,Chandkheda,Residential,11000000.00,Furnished,3,3,Individual,0,0,0,2,2097,Gujarat,Built-up Area
Ahmedabad,South Bopal,Residential,7000000.00,Unfurnished,3,3,Individual,1,1,1,3,1750,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,7770000.00,Unfurnished,3,3,Connected,1,1,1,3,1850,Gujarat,Saleable Area
Ahmedabad,Vasna,Residential,8500000.00,Furnished,3,2,Connected,0,0,0,1,935,Gujarat,Carpet Area
Ahmedabad,Jagatpur,Residential,4000000.00,Unfurnished,1,2,Connected,0,0,0,1,900,Gujarat,Built-up Area
Ahmedabad,Shela,Residential,7000000.00,Unfurnished,3,3,Connected,0,0,0,1,1506,Gujarat,Built-up Area
Ahmedabad,Bopal,Residential,7350000.00,Unfurnished,3,3,Connected,1,1,1,2,1750,Gujarat,Saleable Area
Ahmedabad,Ghuma,Residential,7175000.00,Unfurnished,3,3,Room-attached,1,1,1,3,1750,Gujarat,Saleable Area
Ahmedabad,Nava Vadaj Road,Residential,18000000.00,Unfurnished,4,3,Individual,0,0,0,2,1503,Gujarat,Built-up Area
Ahmedabad,Bapunagar,Residential,7000000.00,Semi-Furnished,3,3,Room-attached,0,0,1,4,100,Gujarat,Built-up Area
Ahmedabad,South Bopal,Residential,7350000.00,Unfurnished,3,3,Room-attached,1,1,1,3,1750,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,5800000.00,Unfurnished,3,2,Room-attached,0,1,1,1,648,Gujarat,Carpet Area
Ahmedabad,South Bopal,Residential,7350000.00,Unfurnished,3,1,Connected,1,1,1,3,1750,Gujarat,Saleable Area
Ahmedabad,Dhandhuka,Residential,500000.00,Unfurnished,3,3,Connected,0,0,0,0,999,Gujarat,Plot Area
Ahmedabad,Shela,Residential,8400000.00,Furnished,3,3,Connected,0,0,0,2,1481,Gujarat,Built-up Area
Ahmedabad,Ranip,Residential,4300000.00,Furnished,2,2,Connected,0,0,0,2,1069,Gujarat,Saleable Area
Ahmedabad,Thaltej,Residential,40000000.00,Unfurnished,3,3,Connected,0,0,0,5,3600,Gujarat,Built-up Area
Ahmedabad,Vastrapur,Residential,4100000.00,Unfurnished,1,2,Connected,0,0,0,1,720,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,888000.00,Unfurnished,3,3,Connected,0,0,0,0,1777,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,910000.00,Unfurnished,3,3,Connected,0,1,1,0,1260,Gujarat,Plot Area
Ahmedabad,Dhandhuka,Residential,710000.00,Unfurnished,3,3,Connected,0,0,0,0,1421,Gujarat,Plot Area
Ahmedabad,Thaltej,Residential,41000000.00,Semi-Furnished,3,4,Connected,0,0,0,2,5200,Gujarat,Built-up Area
